date_confirmed,delaware_cases,delaware_deaths,delaware_negative,newcastle_cases,newcastle_deaths,newcastle_negative,kent_cases,kent_deaths,kent_negative,sussex_cases,sussex_deaths,sussex_negative,delaware_tests
2020-10-1,21064,653,253209,10914,326,147081,3147,118,33242,6927,209,57561,274273
2020-10-10,22297,670,271580,11724,338,159956,3249,119,35125,7246,213,60293,293877
2020-10-11,22457,674,274966,11816,341,162597,3268,119,35333,7295,214,60663,297423
2020-10-12,22561,675,276285,11876,342,163437,3279,119,35492,7328,214,60942,298846
2020-10-13,22632,676,277240,11916,343,163964,3284,119,35635,7354,214,61165,299872
2020-10-14,22724,677,278881,11974,343,165082,3298,119,35845,7374,215,61390,301605
2020-10-15,22888,680,281138,12079,346,166561,3312,119,36048,7419,215,61769,304026
2020-10-16,23125,681,284138,12200,346,168295,3350,119,36374,7497,216,62567,307263
2020-10-17,23269,684,286706,12292,349,170017,3361,119,36688,7538,216,62958,309975
2020-10-18,23373,686,288280,12341,350,170954,3374,119,36865,7580,217,63344,311653
2020-10-19,23487,689,289831,12406,350,171890,3390,119,37079,7613,220,63685,313318
2020-10-2,21237,657,255118,11024,329,148262,3162,118,33456,6975,210,57923,276355
2020-10-20,23545,692,290518,12449,351,172343,3392,120,37150,7626,221,63823,314063
2020-10-21,23686,694,291909,12525,352,173137,3405,120,37355,7678,222,64141,315595
2020-10-22,23854,698,293744,12621,352,174265,3424,120,37546,7731,226,64569,317598
2020-10-23,24013,702,295679,12709,352,175381,3436,120,37768,7790,230,65087,319692
2020-10-24,24135,706,297570,12779,355,176663,3452,120,37978,7826,231,65392,321705
2020-10-25,24338,712,300033,12905,358,178313,3475,120,38261,7880,234,65831,324371
2020-10-26,24424,713,301000,12946,359,178844,3492,120,38435,7908,234,66062,325424
2020-10-27,24558,713,302612,13021,359,179833,3510,120,38588,7949,234,66418,327170
2020-10-28,24716,717,303948,13114,361,180641,3534,120,38708,7990,236,66678,328664
2020-10-29,24907,724,305825,13200,364,181782,3567,121,38935,8062,239,67082,330732
2020-10-3,21357,659,256573,11097,330,149095,3176,118,33668,7008,211,58261,277930
2020-10-30,25106,725,307803,13313,364,183107,3592,121,39126,8123,240,67469,332909
2020-10-31,25291,729,309245,13388,365,183813,3632,121,39375,8193,243,67870,334536
2020-10-4,21512,660,258758,11210,331,150495,3185,118,33918,7040,211,58682,280270
2020-10-5,21599,662,259681,11265,333,151063,3191,118,34053,7066,211,58845,281280
2020-10-6,21728,662,261519,11343,333,152373,3204,118,34214,7104,211,59121,283247
2020-10-7,21828,665,263277,11413,335,153764,3207,119,34282,7131,211,59343,285105
2020-10-8,21985,667,265887,11522,336,155796,3214,119,34504,7172,212,59599,287872
2020-10-9,22165,669,268888,11638,337,157925,3236,119,34880,7213,213,59958,291053
2020-11-1,25475,732,311326,13523,368,185301,3640,121,39544,8234,243,68206,336801
2020-11-10,27495,750,325341,14793,377,193866,3893,122,41424,8730,251,70982,352836
2020-11-11,27693,752,326751,14918,377,194597,3917,122,41634,8779,253,71311,354444
2020-11-12,28158,754,329299,15228,378,196296,3970,122,41860,8881,254,71810,357457
2020-11-13,28539,757,331124,15456,379,197339,4043,122,42186,8959,256,72173,359663
2020-11-14,28942,758,333214,15741,379,198631,4060,122,42409,9060,257,72638,362156
2020-11-15,29345,761,335918,15983,380,200141,4118,122,42785,9163,259,73318,365263
2020-11-16,29707,765,338181,16248,381,201632,4159,122,43050,9219,262,73699,367888
2020-11-17,29928,768,339192,16374,383,202170,4193,123,43226,9280,262,73923,369120
2020-11-18,30326,770,341183,16615,384,203307,4252,123,43513,9377,263,74324,371509
2020-11-19,30971,772,344827,17019,384,205406,4351,125,44005,9519,263,75123,375798
2020-11-2,25576,733,312210,13576,368,185804,3652,122,39648,8270,243,68444,337786
2020-11-20,31490,774,348036,17390,384,207502,4405,125,44315,9613,265,75720,379526
2020-11-21,31983,776,351081,17721,384,209105,4468,125,44836,9712,267,76442,383064
2020-11-22,32355,780,353146,17942,386,210273,4519,127,45074,9811,267,76998,385501
2020-11-23,32797,786,356105,18233,389,212237,4581,129,45393,9896,268,77527,388902
2020-11-24,33100,790,358257,18449,392,213700,4622,130,45579,9942,268,77897,391357
2020-11-25,33684,792,361525,18802,392,215379,4703,130,45882,10090,270,78946,395209
2020-11-26,34256,795,364653,19180,393,217119,4799,131,46369,10188,271,79612,398909
2020-11-27,34761,798,367403,19509,394,218758,4901,131,46767,10262,273,79991,402164
2020-11-28,35363,801,370084,19896,396,220570,4979,132,47001,10397,273,80469,405447
2020-11-29,35771,804,371689,20115,397,221361,5109,133,47410,10456,274,80767,407460
2020-11-3,25693,737,313091,13632,368,186297,3661,122,39783,8322,247,68663,338784
2020-11-30,36442,807,374088,20585,398,222899,5202,133,47685,10563,276,81174,410530
2020-11-4,25910,737,314607,13761,368,187093,3704,122,39999,8367,247,69059,340517
2020-11-5,26204,739,316810,13955,370,188566,3737,122,40225,8434,247,69421,343014
2020-11-6,26422,741,318648,14099,371,189660,3758,122,40570,8487,248,69731,345070
2020-11-7,26734,744,320643,14315,373,190849,3794,122,40875,8546,249,70118,347377
2020-11-8,27051,745,322672,14535,374,192234,3825,122,41106,8612,249,70431,349723
2020-11-9,27255,747,324038,14668,374,193170,3841,122,41196,8667,251,70705,351293
2020-12-1,36800,811,375122,20784,401,223454,5297,134,47920,10627,276,81372,411922
2020-12-10,43808,852,397759,25121,418,236791,6692,151,51235,11893,283,85756,441567
2020-12-11,44877,856,401348,25792,419,239012,6889,152,51651,12088,285,86461,446225
2020-12-12,45475,862,403648,26118,423,240166,6979,153,52008,12268,286,87082,449123
2020-12-13,46471,871,407016,26680,428,241914,7168,154,52608,12510,289,87873,453487
2020-12-14,47162,877,409300,27132,431,243391,7276,155,52853,12638,291,88249,456462
2020-12-15,47948,884,412078,27632,434,245006,7428,158,53367,12770,292,88718,460026
2020-12-16,48782,893,414709,28111,440,246342,7586,160,53806,12966,293,89375,463491
2020-12-17,49112,898,415908,28267,442,246973,7658,162,53971,13067,294,89689,465020
2020-12-18,50145,904,419198,28901,445,248904,7813,164,54374,13309,295,90463,469343
2020-12-19,50629,911,420948,29155,450,249757,7894,164,54615,13457,297,91030,471577
2020-12-2,37580,814,377641,21308,404,224951,5422,134,48258,10758,276,81807,415221
2020-12-20,51084,921,422708,29333,457,250412,8013,164,55010,13615,300,91568,473792
2020-12-21,51653,926,424535,29681,460,251461,8117,166,55323,13730,300,91915,476188
2020-12-22,52243,933,426148,30083,464,252481,8227,168,55584,13808,301,92191,478391
