date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,delaware_positiveTests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,newcastle_positiveTests,kent_cases,kent_deaths,kent_negative,kent_tests,kent_positiveTests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests,sussex_positiveTests
2020-10-1,21065,655,244878,1934,110,10916,327,141607,1174,73,3141,118,32148,279,NA,6931,210,56288,282,22
2020-10-10,22305,672,262580,2725,128,11732,339,153966,2040,81,3243,119,33981,250,NA,7251,214,58945,354,37
2020-10-11,22464,676,265847,3426,129,11823,342,156510,2635,81,3262,119,34182,220,NA,7300,215,59305,409,34
2020-10-12,22567,677,267108,1364,56,11882,343,157313,862,29,3273,119,34334,163,NA,7333,215,59574,302,22
2020-10-13,22638,678,268030,993,108,11922,344,157820,547,53,3278,119,34470,141,17,7359,215,59793,245,32
2020-10-14,22729,679,269617,1678,162,11980,344,158898,1136,108,3291,119,34671,214,NA,7379,216,60014,241,38
2020-10-15,22893,683,271770,2317,131,12085,348,160304,1511,74,3306,119,34864,208,17,7423,216,60381,411,36
2020-10-16,23132,684,274659,3128,181,12208,348,161964,1783,118,3344,119,35178,352,13,7501,217,61158,855,50
2020-10-17,23278,687,277147,2634,50,12301,351,163631,1760,25,3356,119,35482,316,NA,7542,217,61537,420,16
2020-10-18,23382,689,278676,1633,113,12350,352,164541,959,56,3369,119,35653,184,NA,7584,218,61912,417,45
2020-10-19,23496,693,280156,1594,81,12415,353,165435,959,46,3385,119,35857,220,NA,7617,221,62235,356,24
2020-10-2,21239,659,246713,2009,156,11027,330,142739,1243,128,3156,118,32355,222,NA,6979,211,56637,397,21
2020-10-20,23554,696,280819,721,105,12458,354,165871,479,68,3387,120,35927,72,NA,7630,222,62367,145,29
2020-10-21,23695,698,282164,1486,145,12534,355,166637,842,92,3400,120,36127,213,12,7682,223,62676,361,38
2020-10-22,23864,702,283923,1928,147,12631,355,167722,1182,82,3419,120,36313,205,NA,7735,227,63081,458,52
2020-10-23,24023,706,285776,2012,179,12719,355,168777,1143,85,3431,120,36526,225,23,7794,231,63588,566,62
2020-10-24,24146,710,287605,1952,123,12789,358,170016,1309,75,3447,120,36729,219,NA,7831,232,63886,335,32
2020-10-25,24349,717,289975,2573,96,12915,362,171599,1709,54,3470,120,37002,296,11,7885,235,64313,481,30
2020-10-26,24435,718,290908,1019,69,12956,363,172112,554,30,3487,120,37168,183,NA,7913,235,64537,252,28
2020-10-27,24570,718,292466,1693,151,13032,363,173063,1027,110,3505,120,37318,168,15,7954,235,64883,387,22
2020-10-28,24728,722,293737,1429,177,13125,365,173828,858,102,3529,120,37430,136,22,7995,237,65134,292,44
2020-10-29,24919,730,295557,2011,177,13212,369,174928,1187,92,3562,121,37651,254,23,8066,240,65532,469,51
2020-10-3,21361,661,248131,1540,101,11102,331,143545,881,57,3170,118,32564,223,NA,7012,212,56970,366,34
2020-10-30,25118,732,297456,2098,160,13325,369,176201,1386,79,3587,122,37836,210,15,8127,241,65902,431,58
