date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,delaware_positiveTests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,newcastle_positiveTests,kent_cases,kent_deaths,kent_negative,kent_tests,kent_positiveTests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests,sussex_positiveTests
2020-10-1,21036,654,249180,445910,23824,10899,326,144425,245520,11413,3139,118,32752,52345,3330,6922,210,56911,97301,7524
2020-10-10,22271,671,267226,491240,24923,11710,338,157041,276414,12160,3241,119,34614,56348,3395,7242,214,59610,104388,7774
2020-10-11,22430,675,270548,494957,25052,11801,341,159630,279054,12241,3260,119,34821,56633,3404,7291,215,59973,104891,7808
2020-10-12,22534,676,271834,496574,25107,11861,342,160450,279976,12269,3271,119,34975,56877,3408,7324,215,60247,105197,7830
2020-10-13,22605,677,272774,499797,25215,11901,343,160967,282298,12322,3276,119,35115,57216,3425,7350,215,60468,105603,7862
2020-10-14,22697,678,274397,506547,25377,11959,343,162072,286753,12430,3290,119,35322,57747,3435,7370,216,60692,106634,7900
2020-10-15,22863,682,276602,511670,25507,12064,347,163516,289831,12503,3305,119,35518,58243,3452,7416,216,61063,107667,7936
2020-10-16,23101,683,279556,518169,25688,12186,347,165216,293836,12621,3343,119,35842,58753,3465,7494,217,61852,109104,7986
2020-10-17,23245,686,282084,520536,25738,12278,350,166916,295057,12646,3354,119,36149,59056,3471,7535,217,62234,109745,8002
2020-10-18,23349,688,283641,523915,25851,12327,351,167840,297280,12702,3367,119,36326,59410,3481,7577,218,62616,110346,8047
2020-10-19,23463,692,285160,526021,25932,12392,352,168757,298677,12748,3383,119,36534,59617,3489,7610,221,62950,110717,8071
2020-10-2,21209,658,251050,451367,23980,11009,329,145579,248933,11541,3154,118,32962,52861,3335,6970,211,57268,98335,7545
2020-10-20,23521,695,285835,528960,26037,12435,353,169204,300425,12816,3385,120,36605,59917,3493,7623,222,63082,111317,8100
2020-10-21,23662,697,287197,534879,26182,12511,354,169981,304720,12908,3398,120,36806,60355,3505,7675,223,63394,112058,8138
2020-10-22,23830,701,288994,539724,26329,12607,354,171086,307157,12990,3417,120,36994,60934,3513,7728,227,63812,113355,8190
2020-10-23,23989,705,290877,545977,26508,12695,354,172163,310968,13075,3429,120,37209,61371,3536,7787,231,64324,114970,8252
2020-10-24,24111,709,292736,549627,26631,12765,357,173422,313257,13150,3445,120,37414,61881,3546,7823,232,64626,115607,8284
2020-10-25,24313,716,295161,552205,26727,12890,361,175047,315185,13204,3468,120,37695,62046,3557,7877,235,65057,115969,8314
2020-10-26,24399,717,296115,554358,26795,12931,362,175572,316547,13234,3485,120,37865,62253,3564,7905,235,65286,116347,8342
2020-10-27,24533,717,297713,558640,26945,13006,362,176552,319389,13343,3503,120,38017,62592,3579,7946,235,65640,117033,8364
2020-10-28,24691,721,299018,563854,27120,13099,364,177337,322740,13444,3527,120,38136,63048,3601,7987,237,65896,117926,8408
2020-10-29,24883,729,300862,569376,27296,13187,368,178454,326142,13535,3560,121,38359,63516,3624,8058,240,66296,119165,8459
2020-10-3,21329,660,252481,455051,24081,11082,330,146396,251055,11598,3168,118,33171,53292,3340,7003,212,57602,99185,7579
2020-10-30,25082,731,302805,574115,27455,13300,368,179762,328863,13613,3585,122,38547,63965,3639,8119,241,66672,120379,8517
2020-10-31,25267,735,304231,577806,27581,13375,369,180461,331184,13686,3625,122,38794,64443,3651,8189,244,67067,121040,8553
2020-10-4,21485,661,254624,458165,24173,11196,331,147763,253394,11668,3177,118,33419,53503,3345,7035,212,58019,99541,7594
2020-10-5,21572,663,255530,460654,24251,11251,333,148317,255013,11713,3183,118,33553,53774,3359,7061,212,58181,99942,7611
2020-10-6,21702,663,257334,464149,24353,11329,333,149601,257694,11783,3196,118,33712,53984,3365,7100,212,58452,100334,7633
2020-10-7,21802,666,259046,471033,24477,11399,335,150950,262434,11872,3199,119,33779,54470,3371,7127,212,58672,101299,7656
