date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-10-1,21070,669,237882,1866,10923,334,137884,1139,3139,119,31018,260,6929,216,54636,277
2020-10-10,22316,686,255073,2655,11743,346,149921,1991,3241,120,32766,237,7251,220,57216,348
2020-10-11,22477,691,258267,3355,11836,350,152412,2584,3260,120,32965,218,7300,221,57564,397
2020-10-12,22580,692,259493,1329,11895,351,153191,838,3271,120,33113,159,7333,221,57827,296
2020-10-13,22651,694,260388,966,11935,352,153689,538,3276,120,33243,135,7359,222,58038,237
2020-10-14,22741,695,261912,1614,11992,352,154732,1100,3289,120,33433,203,7379,223,58247,229
2020-10-15,22907,699,263993,2247,12097,356,156090,1463,3304,120,33618,200,7425,223,58603,402
2020-10-16,23144,700,266793,3037,12220,356,157699,1732,3341,120,33917,336,7502,224,59363,837
2020-10-17,23290,703,269213,2566,12313,359,159326,1720,3353,120,34211,306,7543,224,59729,407
2020-10-18,23395,705,270687,1579,12363,360,160205,929,3366,120,34370,172,7585,225,60092,405
2020-10-19,23509,710,272132,1559,12428,361,161079,939,3382,120,34565,211,7618,229,60411,352
2020-10-2,21244,673,239662,1954,11034,337,138985,1212,3153,119,31216,212,6978,217,54975,388
2020-10-20,23567,714,272779,705,12471,363,161503,467,3384,121,34632,69,7631,230,60542,144
2020-10-21,23707,716,274079,1440,12547,364,162251,824,3396,121,34822,202,7683,231,60835,345
2020-10-22,23875,720,275784,1873,12643,364,163314,1159,3415,121,35003,200,7736,235,61221,439
2020-10-23,24034,724,277568,1943,12731,364,164333,1107,3427,121,35206,215,7795,239,61710,548
2020-10-24,24155,728,279352,1905,12800,367,165546,1282,3443,121,35401,211,7831,240,62000,326
2020-10-25,24357,735,281635,2485,12925,371,167068,1647,3466,121,35664,286,7885,243,62415,469
2020-10-26,24443,736,282549,1000,12966,372,167571,544,3483,121,35826,179,7913,243,62636,249
2020-10-27,24579,736,284058,1645,13042,372,168498,1003,3501,121,35971,163,7955,243,62965,371
2020-10-28,24739,740,285288,1390,13136,374,169235,831,3525,121,36080,133,7997,245,63208,285
2020-10-29,24932,748,287067,1972,13225,378,170310,1164,3558,122,36294,247,8068,248,63598,461
2020-10-3,21369,675,241042,1505,11111,338,139772,864,3167,119,31420,218,7012,218,55295,354
2020-10-30,25129,750,288912,2042,13337,378,171551,1353,3582,123,36469,199,8129,249,63961,424
2020-10-31,25318,754,290263,1540,13415,379,172220,747,3623,123,36707,279,8199,252,64328,437
2020-10-4,21526,676,243072,2187,11226,339,141061,1404,3176,119,31656,245,7044,218,55695,432
2020-10-5,21613,678,243927,942,11281,341,141588,582,3182,119,31775,125,7070,218,55852,183
2020-10-6,21746,678,245634,1840,11361,341,142804,1296,3196,119,31926,165,7109,218,56109,296
2020-10-7,21845,681,247277,1742,11430,343,144103,1368,3199,120,31984,61,7136,218,56321,239
2020-10-8,22002,683,249730,2610,11540,344,146017,2024,3206,120,32190,213,7176,219,56560,279
2020-10-9,22183,685,252551,3002,11657,345,148016,2116,3228,120,32542,374,7217,220,56902,383
2020-11-1,25504,757,292191,2114,13552,382,173607,1524,3631,123,36857,158,8240,252,64638,351
2020-11-10,27536,779,305306,1463,14827,393,181647,773,3891,125,38587,269,8735,261,67241,328
2020-11-11,27735,782,306622,1515,14951,394,182333,810,3915,125,38790,227,8786,263,67545,355
2020-11-12,28198,784,309018,2859,15262,395,183928,1906,3968,125,39000,263,8885,264,68017,571
2020-11-13,28579,788,310709,2072,15490,396,184883,1183,4040,125,39309,381,8964,267,68357,419
2020-11-14,28986,789,312679,2377,15776,396,186087,1490,4057,125,39519,227,9068,268,68809,556
2020-11-15,29390,793,315225,2950,16019,397,187510,1666,4115,126,39869,408,9171,270,69452,746
2020-11-16,29755,797,317363,2503,16283,398,188929,1683,4156,126,40109,281,9231,273,69815,423
2020-11-17,29977,800,318324,1183,16411,400,189438,637,4190,127,40277,202,9291,273,70029,274
2020-11-18,30373,803,320179,2251,16652,402,190494,1297,4247,127,40546,326,9388,274,70402,470
2020-11-19,31019,806,323574,4041,17054,403,192456,2364,4348,129,41005,560,9531,274,71144,885
2020-11-2,25605,759,293027,937,13604,383,174087,532,3644,124,36951,107,8276,252,64866,264
2020-11-20,31538,810,326553,3498,17426,404,194398,2314,4401,130,41286,334,9625,276,71706,656
2020-11-21,32032,812,329429,3370,17760,404,195914,1850,4464,130,41765,542,9722,278,72398,789
2020-11-22,32418,817,331427,2384,17992,406,197041,1359,4515,132,41997,283,9824,279,72931,635
2020-11-23,32871,824,334213,3239,18290,409,198892,2149,4577,135,42287,352,9913,280,73436,594
2020-11-24,33184,828,336277,2377,18513,412,200296,1627,4619,136,42463,218,9961,280,73791,403
2020-11-25,33770,830,339371,3680,18865,412,201896,1952,4700,136,42739,357,10112,282,74778,1138
2020-11-26,34345,833,342306,3510,19246,413,203538,2023,4796,137,43190,547,10210,283,75410,730
2020-11-27,34857,838,344870,3076,19578,415,205067,1861,4900,138,43564,478,10285,285,75762,427
2020-11-28,35464,841,347418,3155,19970,417,206784,2109,4978,139,43788,302,10420,285,76224,597
2020-11-29,35886,846,348967,1971,20199,419,207550,995,5107,141,44180,521,10483,286,76507,346
2020-11-3,25722,763,293852,942,13660,383,174550,519,3653,124,37077,135,8328,256,65069,255
2020-11-30,36573,850,351234,2954,20677,421,209004,1932,5202,141,44433,348,10596,288,76896,502
2020-11-4,25944,764,295268,1638,13791,384,175294,875,3699,124,37272,241,8373,256,65441,417
2020-11-5,26240,766,297329,2357,13987,386,176677,1579,3733,124,37484,246,8439,256,65771,396
2020-11-6,26459,768,299044,1934,14132,387,177702,1170,3755,124,37799,337,8491,257,66063,344
2020-11-7,26775,771,300904,2176,14348,389,178814,1328,3793,124,38080,319,8551,258,66426,423
2020-11-8,27087,772,302799,2207,14564,390,180119,1521,3823,124,38288,238,8617,258,66716,356
2020-11-9,27292,774,304087,1493,14700,390,181001,1018,3839,124,38370,98,8670,260,66978,315
2020-12-1,36943,857,352207,1343,20884,426,209523,726,5296,143,44653,314,10665,288,77087,260
2020-12-10,44110,917,373708,3166,25324,457,222253,1625,6725,165,47759,509,11952,295,81216,815
2020-12-11,45199,922,377076,4457,26011,459,224363,2797,6921,166,48135,572,12152,297,81869,853
2020-12-12,45818,929,379290,2833,26347,464,225469,1442,7016,167,48481,441,12338,298,82467,784
2020-12-13,46857,943,382552,4301,26933,474,227184,2301,7209,168,49042,754,12595,301,83225,1015
2020-12-14,47569,950,384816,2976,27403,478,228664,1950,7317,169,49273,339,12726,303,83597,503
2020-12-15,48415,959,387607,3637,27945,482,230309,2187,7474,172,49772,656,12871,305,84066,614
2020-12-16,49294,972,390243,3515,28460,490,231672,1878,7633,175,50208,595,13075,307,84706,844
2020-12-17,49648,980,391475,1586,28634,494,232338,840,7709,178,50371,239,13178,308,85021,418
2020-12-18,50692,988,394605,4174,29279,498,234180,2487,7864,181,50749,533,13420,309,85757,978
2020-12-19,51191,1002,396287,2181,29545,506,235014,1100,7945,183,50974,306,13571,313,86295,689
2020-12-2,37737,860,354565,3152,21417,429,210924,1934,5422,143,44973,446,10799,288,77493,540
2020-12-20,51667,1017,397975,2164,29743,517,235660,844,8063,184,51349,493,13731,316,86802,667
2020-12-21,52263,1024,399719,2340,30112,521,236671,1380,8173,187,51640,401,13846,316,87131,444
2020-12-22,52891,1033,401287,2196,30539,526,237668,1424,8294,190,51897,378,13926,317,87395,344
2020-12-23,53698,1044,404138,3658,31028,531,239301,2122,8404,194,52204,417,14133,319,88116,928
2020-12-24,54345,1054,406421,2930,31474,536,240763,1908,8493,197,52441,326,14245,321,88624,620
2020-12-25,55175,1066,409153,3562,31876,542,242021,1660,8729,198,52872,667,14436,326,89431,998
2020-12-26,55767,1077,411047,2486,32210,549,243049,1362,8839,201,53188,426,14580,327,89868,581
