date_confirmed,delaware_delivered,delaware_administered
12/16/20,975,0
12/17/20,8775,89
12/18/20,8775,99
12/19/20,12125,442
12/20/20,12125,1935
12/21/20,12125,3025
12/22/20,12125,4369
12/23/20,14500,5162
12/24/20,28400,6999
12/25/20,28400,7467
12/26/20,28400,7467
12/27/20,28400,7906
12/28/20,28400,9150
12/29/20,28400,11371
12/30/20,34200,14295
12/31/20,42975,13419
1/1/21,42975,14295
1/2/21,42975,14341
1/3/21,44925,15018
1/4/21,44925,15329
1/5/21,50725,16325
1/6/21,53650,18797
1/7/21,53650,20584
1/8/21,53650,23968
1/9/21,53650,27096
1/10/21,53650,28297
1/11/21,53650,28409
1/12/21,58950,30997
1/13/21,75050,34420
1/14/21,77600,36667
1/15/21,77600,38529
1/16/21,77600,41436
1/17/21,77600,45118
1/18/21,77600,49043
1/19/21,77600,55044
1/20/21,86925,57322
1/21/21,89525,60749
1/22/21,96325,64463
1/23/21,96325,68038
1/24/21,96325,73527
1/25/21,96325,76773
1/26/21,109250,77924
1/27/21,120850,82699
1/28/21,120850,87511
1/29/21,120850,92552
1/30/21,120850,100678
1/31/21,120850,103258
2/1/21,120850,103791
2/2/21,120850,107597
2/3/21,131775,110707
2/4/21,138600,113592
2/5/21,138600,117662
2/6/21,138600,122556
2/7/21,138600,125756
2/8/21,138600,126615
2/9/21,138600,126615
2/10/21,138600,129156
2/11/21,156200,132342
2/12/21,162050,135949
2/13/21,162050,140965
2/14/21,162050,149830
2/15/21,162050,151739
2/16/21,162050,154483
2/17/21,162050,159533
2/18/21,162050,164518
