date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,delaware_positiveTests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,newcastle_positiveTests,kent_cases,kent_deaths,kent_negative,kent_tests,kent_positiveTests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests,sussex_positiveTests
2020-10-1,21077,654,251748,445780,23823,10924,326,146230,245435,11413,3147,118,33024,52325,3329,6930,210,57257,97281,7524
2020-10-10,22310,671,270021,491096,24922,11734,338,159029,276317,12160,3249,119,34900,56328,3394,7249,214,59978,104366,7774
2020-10-11,22470,675,273382,494813,25051,11826,341,161649,278957,12241,3268,119,35108,56613,3403,7298,215,60346,104869,7808
2020-10-12,22574,676,274690,496430,25106,11886,342,162484,279879,12269,3279,119,35264,56857,3407,7331,215,60623,105175,7830
2020-10-13,22645,677,275641,499651,25214,11926,343,163008,282199,12322,3284,119,35406,57196,3424,7357,215,60846,105581,7862
2020-10-14,22737,678,277277,506399,25376,11984,343,164123,286652,12430,3298,119,35615,57727,3434,7377,216,61071,106612,7900
2020-10-15,22903,681,279515,511521,25506,12089,346,165590,289729,12503,3313,119,35815,58223,3451,7423,216,61448,107645,7936
2020-10-16,23140,682,282500,518017,25687,12210,346,167315,293732,12621,3351,119,36140,58733,3464,7501,217,62242,109081,7986
2020-10-17,23284,685,285055,520383,25737,12302,349,169032,294952,12646,3362,119,36449,59036,3470,7542,217,62631,109722,8002
2020-10-18,23388,687,286620,523762,25850,12351,350,169962,297175,12702,3375,119,36626,59390,3480,7584,218,63015,110323,8047
2020-10-19,23502,690,288160,525868,25931,12416,350,170893,298572,12748,3391,119,36839,59597,3488,7617,221,63351,110694,8071
2020-10-2,21250,658,253648,451234,23979,11034,329,147405,248846,11541,3162,118,33237,52841,3334,6978,211,57618,98314,7545
2020-10-20,23560,693,288844,528807,26036,12459,351,171345,300320,12816,3393,120,36910,59897,3492,7630,222,63487,111294,8100
2020-10-21,23701,695,290226,534724,26181,12535,352,172134,304614,12908,3406,120,37113,60335,3504,7682,223,63803,112035,8138
2020-10-22,23869,699,292043,539568,26328,12631,352,173251,307050,12990,3425,120,37302,60914,3512,7735,227,64227,113332,8190
