date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-10-22,19701,5587,1416.9,47,10.4
2021-10-22,19702,7794,1411.6,59,16.3
2021-10-22,19703,2104,1451,18,11.4
2021-10-22,19706,NA,NA,NA,NA
2021-10-22,19707,1854,1312,48,17
2021-10-22,19709,6805,1680.8,59,16.2
2021-10-22,19711,7221,1241.6,72,11.6
2021-10-22,19713,4584,1559.8,72,17.2
2021-10-22,19716,NA,NA,NA,NA
2021-10-22,19717,378,417.4,0,0
2021-10-22,19720,10270,1747.2,108,17.3
2021-10-22,19730,NA,NA,NA,NA
2021-10-22,19731,NA,NA,NA,NA
2021-10-22,19732,NA,NA,NA,NA
2021-10-22,19733,NA,NA,NA,NA
2021-10-22,19734,2153,1822.4,19,19
2021-10-22,19736,NA,NA,NA,NA
2021-10-22,19801,3011,1781.3,24,24.4
2021-10-22,19802,3976,1588.4,41,14
2021-10-22,19803,2565,1354.6,79,16.8
2021-10-22,19804,2918,1723.3,39,16.4
2021-10-22,19805,7028,1867.1,83,25.7
2021-10-22,19806,1211,1275.4,41,23.7
2021-10-22,19807,889,1510.4,12,6.3
2021-10-22,19808,5123,1410,83,14.8
2021-10-22,19809,1657,1123,29,17.6
2021-10-22,19810,2529,1066.1,47,10.5
2021-10-22,19901,4973,1373.5,88,21.2
2021-10-22,19902,NA,NA,NA,NA
2021-10-22,19904,5397,1477.4,139,30
2021-10-22,19930,NA,NA,NA,NA
2021-10-22,19931,NA,NA,NA,NA
2021-10-22,19933,1549,1557,29,29.3
2021-10-22,19934,1772,1356.9,23,12.2
2021-10-22,19938,1421,1705.1,14,14.3
2021-10-22,19939,979,1479.2,11,7.5
2021-10-22,19940,1035,1950.2,NA,NA
2021-10-22,19941,455,1724.4,NA,NA
2021-10-22,19943,1777,1423.7,21,13.3
2021-10-22,19944,NA,NA,NA,NA
2021-10-22,19945,1214,2225.5,NA,NA
2021-10-22,19946,733,1494.8,NA,NA
2021-10-22,19947,4120,2198.8,58,27.4
2021-10-22,19950,1138,1619.5,30,25.3
2021-10-22,19951,NA,NA,NA,NA
2021-10-22,19952,1505,1627.3,20,13.5
2021-10-22,19953,536,1319.7,NA,NA
2021-10-22,19954,NA,NA,NA,NA
2021-10-22,19956,2817,1971.6,38,22.6
2021-10-22,19958,3034,1491.9,88,14.6
2021-10-22,19960,1138,1850.7,12,13.8
2021-10-22,19962,1874,1668.3,13,7.8
2021-10-22,19963,3189,1599.6,87,28.2
2021-10-22,19964,NA,NA,NA,NA
2021-10-22,19966,4412,1700.1,91,18.1
2021-10-22,19967,NA,NA,NA,NA
2021-10-22,19968,1408,1405.6,17,11.9
2021-10-22,19970,955,1475.1,NA,NA
2021-10-22,19971,1783,1894.7,34,9.8
2021-10-22,19973,4414,1859.8,83,24
2021-10-22,19975,1410,1828.6,15,6.2
2021-10-22,19977,4537,1796.1,81,28.2
2021-10-22,19979,NA,NA,NA,NA
