date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-10-1,21067,669,241136,1898,10921,334,139643,1157,3140,119,31543,270,6928,216,55396,277
2020-10-10,22312,686,258586,2690,11740,346,151835,2013,3243,120,33336,245,7249,220,58023,352
2020-10-11,22473,691,261823,3398,11833,350,154357,2615,3262,120,33536,219,7298,221,58378,404
2020-10-12,22576,692,263072,1352,11892,351,155153,855,3273,120,33687,162,7331,221,58644,299
2020-10-13,22647,694,263979,978,11932,352,155654,541,3278,120,33822,140,7357,222,58858,240
2020-10-14,22737,695,265539,1650,11989,352,156717,1120,3291,120,34017,208,7377,223,59075,237
2020-10-15,22902,699,267652,2278,12094,356,158102,1490,3306,120,34205,203,7422,223,59433,403
2020-10-16,23139,700,270500,3085,12217,356,159735,1756,3343,120,34512,344,7499,224,60203,847
2020-10-17,23285,703,272951,2597,12310,359,161375,1733,3355,120,34810,310,7540,224,60579,417
2020-10-18,23389,705,274450,1603,12359,360,162270,944,3368,120,34973,176,7582,225,60947,410
2020-10-19,23503,710,275914,1578,12424,361,163155,950,3384,120,35172,215,7615,229,61269,355
2020-10-2,21242,673,242946,1985,11032,337,140761,1229,3155,119,31747,219,6977,217,55740,393
2020-10-20,23561,714,276569,713,12467,363,163584,472,3386,121,35241,71,7628,230,61401,145
2020-10-21,23701,716,277896,1467,12543,364,164344,836,3398,121,35436,207,7680,231,61704,355
2020-10-22,23869,720,279626,1898,12639,364,165418,1170,3417,121,35621,204,7733,235,62098,447
2020-10-23,24028,724,281442,1975,12727,364,166457,1127,3429,121,35827,218,7792,239,62594,555
2020-10-24,24149,728,283252,1931,12796,367,167687,1299,3445,121,36025,214,7828,240,62888,330
2020-10-25,24350,735,285570,2519,12920,371,169233,1670,3468,121,36292,290,7882,243,63307,473
2020-10-26,24436,736,286493,1009,12961,372,169742,550,3485,121,36455,180,7910,243,63530,251
2020-10-27,24572,736,288035,1678,13037,372,170685,1019,3503,121,36604,167,7952,243,63870,382
2020-10-28,24732,740,289287,1412,13131,374,171438,847,3527,121,36715,135,7994,245,64117,289
2020-10-29,24925,748,291085,1991,13220,378,172527,1178,3560,122,36933,251,8065,248,64507,461
2020-10-3,21365,675,244346,1523,11108,338,141559,874,3169,119,31954,221,7010,218,56066,359
2020-10-30,25122,750,292957,2069,13332,378,173785,1370,3584,123,37114,205,8126,249,64873,427
2020-10-31,25311,754,294332,1564,13410,379,174462,755,3625,123,37354,281,8196,252,65251,448
2020-10-4,21522,676,246412,2223,11223,339,142866,1422,3178,119,32193,248,7042,218,56477,443
2020-10-5,21609,678,247285,960,11278,341,143402,591,3184,119,32316,129,7068,218,56638,187
2020-10-6,21741,678,249020,1867,11357,341,144638,1315,3198,119,32470,168,7107,218,56899,300
2020-10-7,21841,681,250686,1766,11427,343,145951,1383,3201,120,32532,65,7134,218,57115,243
2020-10-8,21998,683,253163,2634,11537,344,147880,2039,3208,120,32742,217,7174,219,57358,283
2020-10-9,22179,685,256029,3047,11654,345,149908,2145,3230,120,33104,384,7215,220,57705,388
2020-11-1,25497,757,296292,2146,13547,382,175869,1544,3633,123,37507,161,8237,252,65567,357
2020-11-10,27524,779,309608,1474,14820,393,184012,778,3891,125,39278,270,8731,261,68215,330
2020-11-11,27722,782,310942,1532,14944,394,184702,814,3915,125,39484,230,8781,263,68527,362
2020-11-12,28183,784,313381,2900,15252,395,186324,1930,3967,125,39701,269,8882,264,69008,582
2020-11-13,28563,788,315089,2088,15480,396,187290,1194,4039,125,40013,384,8960,267,69349,419
2020-11-14,28963,789,317087,2398,15762,396,188514,1506,4056,125,40227,231,9061,268,69804,556
2020-11-15,29366,793,319669,2985,16004,397,189956,1684,4114,126,40583,414,9164,270,70457,756
2020-11-16,29729,797,321831,2525,16267,398,191389,1696,4155,126,40829,287,9223,273,70822,424
2020-11-17,29951,800,322800,1191,16394,400,191903,641,4189,127,40997,202,9284,273,71038,277
2020-11-18,30345,803,324693,2287,16634,402,192973,1310,4246,127,41273,333,9380,274,71424,482
2020-11-19,30988,806,328149,4099,17036,403,194961,2390,4345,129,41741,567,9522,274,72189,907
2020-11-2,25598,759,297139,948,13600,383,176354,538,3645,124,37605,110,8273,252,65796,265
2020-11-20,31507,810,331174,3544,17407,404,196933,2343,4399,130,42031,344,9616,276,72756,661
2020-11-21,32003,812,334082,3404,17741,404,198465,1866,4462,130,42518,550,9715,278,73453,796
2020-11-22,32391,817,336108,2414,17974,406,199606,1374,4513,132,42756,289,9818,279,73994,644
2020-11-23,32839,824,338949,3289,18269,409,201496,2185,4575,135,43050,356,9905,280,74505,598
2020-11-24,33153,828,341038,2403,18493,412,202920,1648,4616,136,43227,218,9954,280,74864,408
2020-11-25,33740,830,344186,3735,18846,412,204546,1979,4697,136,43510,364,10105,282,75871,1158
2020-11-26,34316,833,347163,3553,19228,413,206205,2041,4792,137,43972,557,10204,283,76511,739
2020-11-27,34829,838,349754,3104,19563,415,207748,1878,4894,138,44351,481,10279,285,76867,431
2020-11-28,35438,841,352339,3194,19955,417,209485,2129,4973,139,44582,310,10415,285,77335,604
2020-11-29,35859,846,353914,1996,20183,419,210265,1008,5102,141,44982,529,10478,286,77622,350
2020-11-3,25715,763,297983,961,13656,383,176828,530,3654,124,37734,138,8325,256,66004,260
2020-11-30,36540,850,356215,2982,20657,421,211738,1947,5195,141,45240,351,10591,288,78020,511
2020-11-4,25937,764,299423,1662,13787,384,177586,889,3700,124,37933,245,8370,256,66382,423
2020-11-5,26232,766,301520,2392,13983,386,178989,1599,3733,124,38150,250,8436,256,66722,406
2020-11-6,26451,768,303261,1960,14128,387,180023,1179,3755,124,38476,348,8488,257,67017,347
2020-11-7,26766,771,305148,2202,14343,389,181148,1340,3793,124,38764,326,8548,258,67385,428
2020-11-8,27077,772,307066,2229,14558,390,182466,1533,3823,124,38975,241,8614,258,67681,362
2020-11-9,27283,774,308375,1515,14694,390,183360,1030,3839,124,39060,101,8668,260,67948,321
2020-12-1,36908,857,357199,1352,20861,426,212263,729,5290,143,45464,319,10660,288,78212,261
2020-12-10,44073,917,379038,3202,25300,457,225160,1643,6719,165,48635,517,11946,295,82424,825
2020-12-11,45169,922,382461,4519,25992,459,227294,2826,6916,166,49025,587,12147,297,83089,866
2020-12-12,45789,929,384707,2866,26329,464,228415,1458,7011,167,49373,443,12333,298,83699,796
2020-12-13,46833,943,388024,4361,26919,474,230151,2326,7205,168,49948,769,12590,301,84472,1030
2020-12-14,47549,950,390318,3010,27391,478,231652,1973,7314,169,50180,341,12722,303,84849,509
2020-12-15,48396,959,393148,3677,27934,482,233315,2206,7471,172,50689,666,12867,305,85324,620
2020-12-16,49274,972,395807,3537,28448,490,234685,1884,7630,175,51130,600,13071,307,85972,852
2020-12-17,49628,980,397052,1599,28622,494,235358,847,7706,178,51295,241,13174,308,86291,422
2020-12-18,50674,988,400220,4214,29268,498,237219,2507,7862,181,51681,542,13416,309,87037,988
2020-12-19,51175,1002,401924,2205,29534,506,238059,1106,7945,183,51914,316,13567,313,87582,696
2020-12-2,37699,860,359604,3196,21391,429,213697,1964,5417,143,45790,453,10793,288,78623,544
2020-12-20,51653,1017,403638,2192,29733,517,238711,851,8063,184,52292,496,13728,316,88101,680
2020-12-21,52248,1024,405404,2361,30102,521,239734,1392,8172,187,52586,403,13843,316,88437,451
2020-12-22,52875,1033,406993,2216,30528,526,240740,1432,8293,190,52852,387,13923,317,88703,346
2020-12-23,53682,1044,409877,3691,31017,531,242387,2136,8403,194,53168,426,14130,319,89433,937
2020-12-24,54329,1054,412192,2962,31462,536,243869,1927,8493,197,53408,330,14242,321,89947,626
2020-12-25,55160,1066,414965,3604,31864,542,245147,1680,8729,198,53848,676,14434,326,90762,1007
2020-12-26,55752,1077,416890,2517,32198,549,246192,1379,8839,201,54169,431,14578,327,91208,590
2020-12-27,56231,1094,418293,1882,32496,563,247166,1272,8916,204,54275,183,14680,327,91461,355
2020-12-28,56955,1105,420037,2468,32975,567,248279,1592,9026,207,54488,323,14812,331,91775,446
2020-12-29,57372,1112,421403,1783,33243,570,249165,1154,9102,210,54654,242,14885,332,92066,364
2020-12-3,38630,868,362096,3423,21925,434,215132,1969,5658,145,46219,670,10948,289,79062,594
2020-12-30,58256,1121,423494,2975,33791,575,250392,1775,9252,211,54947,443,15067,335,92549,665
2020-12-31,58882,1132,424903,2035,34028,581,251102,947,9406,213,55158,365,15302,338,92988,674
2020-12-4,39324,872,364089,2687,22375,437,216371,1689,5793,145,46470,386,11056,290,79432,478
2020-12-5,40130,879,366574,3291,22866,441,217757,1877,5960,147,46813,510,11203,291,80053,768
2020-12-6,40960,886,369612,3868,23293,444,219259,1929,6172,151,47471,870,11394,291,80667,805
2020-12-7,41691,892,371913,3032,23732,446,220720,1900,6316,155,47774,447,11541,291,81089,569
2020-12-8,42631,896,374497,3524,24417,448,222566,2531,6452,157,48019,381,11659,291,81440,469
2020-12-9,43277,910,376632,2781,24881,453,223936,1834,6549,163,48288,366,11740,294,81805,446
2020-3-10,12,0,18,4,12,0,11,3,0,0,NA,0,0,0,NA,1
2020-3-11,16,0,22,8,11,0,12,5,0,0,NA,0,NA,0,NA,3
2020-3-12,16,0,32,10,11,0,19,7,0,0,NA,0,NA,0,NA,3
2020-3-13,17,0,51,20,12,0,29,11,0,0,NA,NA,NA,0,18,8
2020-3-14,17,0,69,18,12,0,41,12,0,0,NA,NA,NA,0,20,2
2020-3-15,20,0,85,19,12,0,51,10,NA,0,11,6,NA,0,23,3
2020-3-16,21,0,103,19,11,0,58,8,NA,0,16,5,NA,0,29,6
2020-3-17,25,0,141,42,13,0,82,27,NA,0,24,9,NA,0,35,6
2020-3-18,36,0,197,67,21,0,90,16,NA,0,28,5,NA,0,79,46
2020-3-19,49,0,451,267,28,0,164,81,NA,0,55,30,11,0,227,151
2020-3-20,57,0,537,94,32,0,211,51,NA,0,67,12,15,0,254,31
2020-3-21,64,0,594,64,37,0,244,38,NA,0,75,8,17,0,270,18
2020-3-22,77,0,621,40,46,0,260,25,NA,0,80,5,21,0,276,10
2020-3-23,116,0,886,304,70,0,411,175,15,0,110,35,31,0,346,80
2020-3-24,147,1,1226,371,91,0,673,283,22,0,148,45,34,NA,366,23
2020-3-25,165,2,1434,226,102,NA,811,149,25,0,166,21,38,NA,405,43
2020-3-26,188,3,1686,275,114,NA,922,123,29,0,229,67,45,NA,461,63
2020-3-27,226,5,1890,242,139,NA,984,87,35,0,297,74,52,NA,499,45
2020-3-28,274,9,2175,333,158,NA,1106,141,40,NA,345,53,76,NA,594,119
2020-3-29,320,10,2381,252,180,NA,1232,148,47,NA,381,43,93,NA,619,42
2020-3-30,356,11,2687,342,212,NA,1398,198,47,NA,404,23,97,NA,719,104
2020-3-31,426,12,3188,571,254,NA,1618,262,59,NA,518,126,113,NA,848,145
2020-3-8,12,0,10,0,12,0,NA,0,0,0,NA,0,0,0,NA,0
2020-3-9,12,0,14,4,12,0,NA,2,0,0,NA,NA,0,0,NA,1
2020-4-1,463,13,3554,403,278,NA,1776,182,64,NA,555,42,121,NA,985,145
