date_confirmed,delaware_cases,delaware_deaths,delaware_negative,newcastle_cases,newcastle_deaths,newcastle_negative,kent_cases,kent_deaths,kent_negative,sussex_cases,sussex_deaths,sussex_negative,delaware_tests
2020-10-1,21065,653,253369,10915,326,147177,3147,118,33263,6927,209,57594,274434
2020-10-10,22298,670,271753,11725,338,160059,3249,119,35151,7246,213,60326,294051
2020-10-11,22458,674,275141,11817,341,162700,3268,119,35360,7295,214,60696,297599
2020-10-12,22562,675,276464,11877,342,163543,3279,119,35520,7328,214,60975,299026
2020-10-13,22633,676,277420,11917,343,164071,3284,119,35663,7354,214,61198,300053
2020-10-14,22725,677,279061,11975,343,165189,3298,119,35873,7374,215,61423,301786
2020-10-15,22889,680,281320,12080,346,166669,3312,119,36076,7419,215,61803,304209
2020-10-16,23126,681,284323,12201,346,168404,3350,119,36403,7497,216,62602,307449
2020-10-17,23270,684,286891,12293,349,170126,3361,119,36717,7538,216,62993,310161
2020-10-18,23374,686,288465,12342,350,171063,3374,119,36894,7580,217,63379,311839
2020-10-19,23488,689,290016,12407,350,171999,3390,119,37108,7613,220,63720,313504
2020-10-2,21238,657,255279,11025,329,148359,3162,118,33477,6975,210,57956,276517
2020-10-20,23546,692,290704,12450,351,172452,3392,120,37179,7626,221,63859,314250
2020-10-21,23687,694,292095,12526,352,173246,3405,120,37384,7678,222,64177,315782
2020-10-22,23855,698,293932,12622,352,174375,3424,120,37575,7731,226,64606,317787
2020-10-23,24014,702,295869,12710,352,175491,3436,120,37797,7790,230,65126,319883
2020-10-24,24136,706,297760,12780,355,176773,3452,120,38007,7826,231,65431,321896
2020-10-25,24339,712,300225,12906,358,178424,3475,120,38290,7880,234,65871,324564
2020-10-26,24425,713,301192,12947,359,178955,3492,120,38464,7908,234,66102,325617
2020-10-27,24559,713,302805,13022,359,179944,3510,120,38617,7949,234,66459,327364
2020-10-28,24717,717,304141,13115,361,180752,3534,120,38737,7990,236,66719,328858
2020-10-29,24908,724,306019,13201,364,181894,3567,121,38964,8062,239,67123,330927
2020-10-3,21358,659,256736,11098,330,149194,3176,118,33689,7008,211,58294,278094
2020-10-30,25107,725,307998,13314,364,183219,3592,121,39156,8123,240,67510,333105
2020-10-31,25292,729,309440,13389,365,183925,3632,121,39405,8193,243,67911,334732
