date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests
2022-4-23,261537,2925,754985,527
2022-4-24,261628,2926,755234,340
2022-4-25,261734,2926,755391,263
2022-4-26,261940,2926,755665,480
2022-4-27,262201,2927,756108,704
2022-4-28,262454,2927,756478,623
2022-4-29,262755,2927,756844,667
2022-4-3,258480,2921,747584,238
2022-4-30,263012,2927,757273,686
2022-4-4,258528,2923,747794,258
2022-4-5,258620,2923,748088,386
2022-4-6,258785,2923,748625,702
2022-4-7,258940,2923,749199,729
2022-4-8,259052,2923,749566,479
2022-4-9,259196,2923,749964,542
2022-5-1,263167,2927,757468,350
2022-5-10,266065,2928,760424,685
2022-5-2,263273,2927,757640,278
2022-5-3,263493,2928,757904,484
2022-5-4,263966,2928,758403,972
2022-5-5,264387,2928,758824,842
2022-5-6,264840,2928,759286,915
2022-5-7,265231,2928,759671,776
2022-5-8,265466,2928,759922,486
2022-5-9,265705,2928,760099,416
