date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-12-03,19701,5915,1500,51,11.4
2021-12-03,19702,8285,1501.7,62,17.3
2021-12-03,19703,2291,1586.6,21,13.4
2021-12-03,19706,NA,NA,NA,NA
2021-12-03,19707,1983,1402.8,49,17.2
2021-12-03,19709,7359,1814.8,63,17
2021-12-03,19711,7532,1310.7,76,12.3
2021-12-03,19713,4818,1641.8,76,18.2
2021-12-03,19716,NA,NA,NA,NA
2021-12-03,19717,398,716.9,0,0
2021-12-03,19720,10878,1851.7,116,18.6
2021-12-03,19730,NA,NA,NA,NA
2021-12-03,19731,NA,NA,NA,NA
2021-12-03,19732,NA,NA,NA,NA
2021-12-03,19733,NA,NA,NA,NA
2021-12-03,19734,2339,1982.2,20,19.6
2021-12-03,19736,NA,NA,NA,NA
2021-12-03,19801,3242,1924.8,24,24.4
2021-12-03,19802,4291,1716.5,48,16.2
2021-12-03,19803,2753,1453.5,82,17.5
2021-12-03,19804,3124,1850.7,40,16.8
2021-12-03,19805,7468,1984.1,84,26
2021-12-03,19806,1291,1376.6,42,25.2
2021-12-03,19807,946,1600.7,12,6.3
2021-12-03,19808,5493,1513,89,16.1
2021-12-03,19809,1797,1216.2,29,17.6
2021-12-03,19810,2728,1148,48,10.7
2021-12-03,19901,5335,1479.7,90,21.8
2021-12-03,19902,NA,NA,NA,NA
2021-12-03,19904,5857,1608.1,146,31.6
2021-12-03,19930,NA,NA,NA,NA
2021-12-03,19931,NA,NA,NA,NA
2021-12-03,19933,1677,1687.6,31,30.9
2021-12-03,19934,1926,1474.4,26,14
2021-12-03,19938,1574,1885.3,17,17
2021-12-03,19939,1044,1592,13,8.7
2021-12-03,19940,1097,2062.8,NA,NA
2021-12-03,19941,508,1933.4,NA,NA
2021-12-03,19943,1902,1522.5,22,14.2
2021-12-03,19944,NA,NA,NA,NA
2021-12-03,19945,1260,2304.3,11,9.6
2021-12-03,19946,778,1587.7,NA,NA
2021-12-03,19947,4318,2308.4,63,30
2021-12-03,19950,1227,1760.8,32,27.1
2021-12-03,19951,NA,NA,NA,NA
2021-12-03,19952,1640,1774.8,23,16.7
2021-12-03,19953,593,1479.3,NA,NA
2021-12-03,19954,NA,NA,NA,NA
2021-12-03,19956,2985,2087.5,40,23.7
2021-12-03,19958,3217,1577.2,88,14.6
2021-12-03,19960,1204,1960.7,13,15
2021-12-03,19962,2055,1842.2,14,8.4
2021-12-03,19963,3402,1712.4,92,29.8
2021-12-03,19964,NA,NA,NA,NA
2021-12-03,19966,4716,1815.7,96,18.9
2021-12-03,19967,NA,NA,NA,NA
2021-12-03,19968,1531,1533,18,12.2
2021-12-03,19970,992,1532.4,NA,NA
2021-12-03,19971,1870,2018.5,35,10.1
2021-12-03,19973,4652,1964.2,86,25.3
2021-12-03,19975,1465,1909.4,15,6.2
2021-12-03,19977,4963,1969.6,88,30.6
2021-12-03,19979,NA,NA,NA,NA
