date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-09-03,19701,4925,1244.1,42,9.3
2021-09-03,19702,6799,1228.2,54,14.7
2021-09-03,19703,1824,1253.1,18,11.4
2021-09-03,19706,NA,NA,NA,NA
2021-09-03,19707,1621,1147.1,46,16
2021-09-03,19709,5810,1439,55,15.1
2021-09-03,19711,6306,1076.9,69,11.2
2021-09-03,19713,4053,1369.9,68,16.2
2021-09-03,19716,NA,NA,NA,NA
2021-09-03,19717,231,326.3,0,0
2021-09-03,19720,9043,1532.6,94,15.1
2021-09-03,19730,NA,NA,NA,NA
2021-09-03,19731,NA,NA,NA,NA
2021-09-03,19732,NA,NA,NA,NA
2021-09-03,19733,NA,NA,NA,NA
2021-09-03,19734,1786,1515.7,16,17.6
2021-09-03,19736,NA,NA,NA,NA
2021-09-03,19801,2494,1471.9,23,23.9
2021-09-03,19802,3299,1310.9,38,12.7
2021-09-03,19803,2275,1199.6,77,16.1
2021-09-03,19804,2567,1501.7,33,14
2021-09-03,19805,5991,1595.5,82,25.4
2021-09-03,19806,1085,1122.1,40,23.1
2021-09-03,19807,776,1328.6,NA,NA
2021-09-03,19808,4518,1237.2,76,13.5
2021-09-03,19809,1425,960.3,28,16.8
2021-09-03,19810,2246,942,42,9
2021-09-03,19901,4115,1130.9,80,19.5
2021-09-03,19902,NA,NA,NA,NA
2021-09-03,19904,4458,1204.5,129,27.8
2021-09-03,19930,NA,NA,NA,NA
2021-09-03,19931,NA,NA,NA,NA
2021-09-03,19933,1250,1257.9,25,26.2
2021-09-03,19934,1416,1077.6,17,9
2021-09-03,19938,1098,1315.4,14,14.3
2021-09-03,19939,817,1229.6,NA,NA
2021-09-03,19940,808,1511.8,NA,NA
2021-09-03,19941,365,1422.1,NA,NA
2021-09-03,19943,1364,1082.2,17,11.3
2021-09-03,19944,NA,NA,NA,NA
2021-09-03,19945,973,1734.9,NA,NA
2021-09-03,19946,572,1173.9,NA,NA
2021-09-03,19947,3535,1879.9,54,25.6
2021-09-03,19950,925,1307.4,27,22.7
2021-09-03,19951,NA,NA,NA,NA
2021-09-03,19952,1156,1227.7,13,8.5
2021-09-03,19953,440,1066,NA,NA
2021-09-03,19954,NA,NA,NA,NA
2021-09-03,19956,2200,1537.5,32,19.4
2021-09-03,19958,2576,1247.9,82,13.7
2021-09-03,19960,967,1567.4,NA,NA
2021-09-03,19962,1482,1308.7,12,7.2
2021-09-03,19963,2668,1323.2,77,24.6
2021-09-03,19964,NA,NA,NA,NA
2021-09-03,19966,3627,1374,85,16.9
2021-09-03,19967,NA,NA,NA,NA
2021-09-03,19968,1178,1170.2,16,11.4
2021-09-03,19970,822,1221.6,NA,NA
2021-09-03,19971,1600,1703.1,32,9.3
2021-09-03,19973,3532,1470.1,73,21.2
2021-09-03,19975,1221,1570.5,13,5.5
2021-09-03,19977,3793,1491.3,74,26
2021-09-03,19979,NA,NA,NA,NA
