date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,delaware_positiveTests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,newcastle_positiveTests,kent_cases,kent_deaths,kent_negative,kent_tests,kent_positiveTests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests,sussex_positiveTests
2020-10-1,21054,654,245690,1938,110,10907,326,142127,1176,73,3141,118,32250,281,NA,6929,210,56431,282,22
2020-10-10,22291,671,263458,2739,128,11720,338,154530,2048,81,3243,119,34088,251,NA,7249,214,59103,359,37
2020-10-11,22450,675,266733,3434,129,11811,341,157079,2640,81,3262,119,34291,222,NA,7298,215,59464,410,34
2020-10-12,22553,676,268000,1370,55,11870,342,157885,865,28,3273,119,34444,164,NA,7331,215,59734,303,22
2020-10-13,22624,677,268925,996,108,11910,343,158394,549,53,3278,119,34580,141,17,7357,215,59953,245,32
2020-10-14,22715,678,270519,1685,162,11968,343,159475,1139,108,3291,119,34784,217,NA,7377,216,60175,242,38
2020-10-15,22880,682,272678,2324,130,12073,347,160887,1517,73,3306,119,34977,208,17,7422,216,60542,412,36
2020-10-16,23118,683,275579,3139,181,12195,347,162555,1790,118,3344,119,35292,353,13,7500,217,61322,858,50
2020-10-17,23264,686,278073,2640,50,12288,350,164227,1765,25,3356,119,35597,317,NA,7541,217,61701,420,16
2020-10-18,23368,688,279611,1642,113,12337,351,165139,961,56,3369,119,35772,188,NA,7583,218,62079,420,45
2020-10-19,23482,692,281099,1602,81,12402,352,166036,962,46,3385,119,35977,221,NA,7616,221,62406,360,24
2020-10-2,21227,658,247530,2013,156,11017,329,143263,1246,128,3156,118,32457,222,NA,6977,211,56781,398,21
2020-10-20,23540,695,281765,724,105,12445,353,166475,482,68,3387,120,36047,72,NA,7629,222,62538,145,29
2020-10-21,23681,697,283115,1491,145,12521,354,167246,847,92,3400,120,36247,213,12,7681,223,62847,361,38
2020-10-22,23850,701,284884,1938,147,12618,354,168337,1188,82,3419,120,36433,205,NA,7734,227,63256,462,52
2020-10-23,24009,705,286741,2016,179,12706,354,169393,1144,85,3431,120,36647,226,23,7793,231,63765,568,62
2020-10-24,24132,709,288574,1956,123,12776,357,170634,1311,75,3447,120,36850,219,NA,7830,232,64064,336,32
2020-10-25,24335,716,290953,2582,96,12902,361,172224,1716,54,3470,120,37123,296,11,7884,235,64493,483,30
2020-10-26,24421,717,291887,1020,68,12943,362,172738,555,30,3487,120,37289,183,NA,7912,235,64717,252,28
2020-10-27,24555,717,293453,1700,150,13018,362,173696,1033,109,3505,120,37439,168,15,7953,235,65064,388,22
