date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-05-12,19701,4241,1070.7,32,7.3
2021-05-12,19702,5989,1082.9,47,13.5
2021-05-12,19703,1590,1089.7,18,11.4
2021-05-12,19706,NA,NA,NA,NA
2021-05-12,19707,1455,1028.1,42,14.4
2021-05-12,19709,5146,1276.4,40,12.1
2021-05-12,19711,5776,966.7,60,9.7
2021-05-12,19713,3651,1233.3,62,14.6
2021-05-12,19716,NA,NA,NA,NA
2021-05-12,19717,226,393.3,0,0
2021-05-12,19720,8055,1361.9,81,13
2021-05-12,19730,NA,NA,NA,NA
2021-05-12,19731,NA,NA,NA,NA
2021-05-12,19732,NA,NA,NA,NA
2021-05-12,19733,NA,NA,NA,NA
2021-05-12,19734,1562,1318.3,13,14.2
2021-05-12,19736,NA,NA,NA,NA
2021-05-12,19801,2221,1299.7,21,22.5
2021-05-12,19802,2899,1149,30,10.3
2021-05-12,19803,2035,1069.9,71,14.7
2021-05-12,19804,2304,1345.6,32,13.6
2021-05-12,19805,5368,1431.8,72,22.6
2021-05-12,19806,973,1000.6,34,20.1
2021-05-12,19807,701,1183.1,NA,NA
2021-05-12,19808,4063,1114,69,12.3
2021-05-12,19809,1261,848.9,25,14.8
2021-05-12,19810,1992,833.2,38,8.2
2021-05-12,19901,3476,946.9,67,16
2021-05-12,19902,NA,NA,NA,NA
2021-05-12,19904,3807,1022.9,115,24.9
2021-05-12,19930,NA,NA,NA,NA
2021-05-12,19931,NA,NA,NA,NA
2021-05-12,19933,1069,1062.6,21,21.7
2021-05-12,19934,1193,904.4,16,8.4
2021-05-12,19938,956,1142.8,12,12.7
2021-05-12,19939,717,1082.8,NA,NA
2021-05-12,19940,686,1271.2,NA,NA
2021-05-12,19941,320,1273.4,NA,NA
2021-05-12,19943,1117,881.2,14,9.3
2021-05-12,19944,NA,NA,NA,NA
2021-05-12,19945,859,1521.1,NA,NA
2021-05-12,19946,484,996.5,NA,NA
2021-05-12,19947,3235,1720.3,45,21.5
2021-05-12,19950,749,1051,23,19.6
2021-05-12,19951,NA,NA,NA,NA
2021-05-12,19952,945,999.8,12,7.8
2021-05-12,19953,390,945.5,NA,NA
2021-05-12,19954,NA,NA,NA,NA
2021-05-12,19956,1882,1309.2,26,15.8
2021-05-12,19958,2275,1101.4,74,12.4
2021-05-12,19960,813,1315.6,NA,NA
2021-05-12,19962,1238,1087.4,NA,NA
2021-05-12,19963,2281,1121.6,70,22.4
2021-05-12,19964,NA,NA,NA,NA
2021-05-12,19966,3143,1182.8,79,15.8
2021-05-12,19967,NA,NA,NA,NA
2021-05-12,19968,1015,999.1,15,11
2021-05-12,19970,744,1105,NA,NA
2021-05-12,19971,1398,1491.1,26,7.4
2021-05-12,19973,2998,1231.7,65,18.5
2021-05-12,19975,1097,1403.3,NA,NA
2021-05-12,19977,3255,1272.5,63,22.6
2021-05-12,19979,NA,NA,NA,NA
