date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2022-03-26,19701,9741,2497.5,72,16.3
2022-03-26,19702,13625,2467.6,80,21.5
2022-03-26,19703,3903,2704.1,29,18.1
2022-03-26,19706,NA,NA,NA,NA
2022-03-26,19707,3365,2452.4,54,19.2
2022-03-26,19709,12780,3152.3,84,21.2
2022-03-26,19711,11718,2163.6,101,16.4
2022-03-26,19713,7995,2741.3,102,25.2
2022-03-26,19716,NA,NA,NA,NA
2022-03-26,19717,827,4898.4,0,0
2022-03-26,19720,17198,2941.2,143,22.9
2022-03-26,19730,NA,NA,NA,NA
2022-03-26,19731,NA,NA,NA,NA
2022-03-26,19732,NA,NA,NA,NA
2022-03-26,19733,NA,NA,NA,NA
2022-03-26,19734,4115,3468,22,21.3
2022-03-26,19736,NA,NA,NA,NA
2022-03-26,19801,5044,2995.8,39,36.9
2022-03-26,19802,6839,2736.4,74,24.8
2022-03-26,19803,4762,2536.5,93,19.8
2022-03-26,19804,4809,2866.1,48,20.3
2022-03-26,19805,11531,3060.7,104,31.7
2022-03-26,19806,2127,2289,49,29.3
2022-03-26,19807,1533,2589.9,17,8.9
2022-03-26,19808,8909,2481.7,109,19.6
2022-03-26,19809,3113,2113.4,33,19.9
2022-03-26,19810,4930,2108.2,63,14.3
2022-03-26,19901,9380,2634.9,116,28.1
2022-03-26,19902,NA,NA,NA,NA
2022-03-26,19904,10015,2774.4,176,38.4
2022-03-26,19930,NA,NA,NA,NA
2022-03-26,19931,NA,NA,NA,NA
2022-03-26,19933,2616,2618.5,38,37.3
2022-03-26,19934,3362,2582.6,34,18.5
2022-03-26,19938,2816,3375.6,25,24.3
2022-03-26,19939,1663,2553.9,17,13.1
2022-03-26,19940,1710,3299.3,NA,NA
2022-03-26,19941,838,3162.4,14,67
2022-03-26,19943,3295,2664.3,34,21.8
2022-03-26,19944,NA,NA,NA,NA
2022-03-26,19945,1951,3599,11,9.6
2022-03-26,19946,1259,2595,14,24.7
2022-03-26,19947,6376,3405.1,73,34.3
2022-03-26,19950,1888,2719.9,37,31.4
2022-03-26,19951,NA,NA,NA,NA
2022-03-26,19952,2587,2831.3,31,22.6
2022-03-26,19953,1007,2563.7,16,28.7
2022-03-26,19954,NA,NA,NA,NA
2022-03-26,19956,4827,3384.2,56,33.5
2022-03-26,19958,5290,2609.7,99,16.3
2022-03-26,19960,1963,3204,16,18
2022-03-26,19962,3447,3110.4,23,15.4
2022-03-26,19963,5651,2875.1,116,38.2
2022-03-26,19964,NA,NA,NA,NA
2022-03-26,19966,7588,2947.9,116,22.6
2022-03-26,19967,NA,NA,NA,NA
2022-03-26,19968,2729,2778.9,25,15.7
2022-03-26,19970,1595,2563.6,15,8
2022-03-26,19971,2898,3085.2,44,13.9
2022-03-26,19973,7356,3130.2,102,29.8
2022-03-26,19975,2150,2829.4,17,7.2
2022-03-26,19977,8409,3367.8,113,39.7
2022-03-26,19979,NA,NA,NA,NA
