date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-10-1,21070,669,237999,1867,10923,334,137949,1140,3139,119,31039,260,6929,216,54657,277
2020-10-10,22316,686,255202,2659,11743,346,149992,1992,3241,120,32792,240,7251,220,57238,348
2020-10-11,22477,691,258397,3356,11836,350,152484,2585,3260,120,32991,218,7300,221,57586,397
2020-10-12,22580,692,259625,1331,11895,351,153264,839,3271,120,33139,159,7333,221,57850,297
2020-10-13,22651,694,260520,966,11935,352,153762,538,3276,120,33269,135,7359,222,58061,237
2020-10-14,22741,695,262044,1614,11992,352,154805,1100,3289,120,33459,203,7379,223,58270,229
2020-10-15,22907,699,264125,2247,12097,356,156163,1463,3304,120,33644,200,7425,223,58626,402
2020-10-16,23144,700,266925,3037,12220,356,157772,1732,3341,120,33943,336,7502,224,59386,837
2020-10-17,23290,703,269345,2566,12313,359,159399,1720,3353,120,34237,306,7543,224,59752,407
2020-10-18,23395,705,270820,1580,12363,360,160278,929,3366,120,34396,172,7585,225,60116,406
2020-10-19,23509,710,272266,1560,12428,361,161153,940,3382,120,34591,211,7618,229,60435,352
2020-10-2,21244,673,239782,1957,11034,337,139052,1214,3153,119,31238,213,6978,217,54996,388
2020-10-20,23567,714,272913,705,12471,363,161577,467,3384,121,34658,69,7631,230,60566,144
2020-10-21,23707,716,274214,1441,12547,364,162325,824,3396,121,34849,203,7683,231,60859,345
2020-10-22,23875,720,275919,1873,12643,364,163388,1159,3415,121,35030,200,7736,235,61245,439
2020-10-23,24034,724,277704,1944,12731,364,164408,1108,3427,121,35233,215,7795,239,61734,548
2020-10-24,24155,728,279489,1906,12800,367,165622,1283,3443,121,35428,211,7831,240,62024,326
2020-10-25,24357,735,281775,2488,12925,371,167146,1649,3466,121,35692,287,7885,243,62439,469
2020-10-26,24443,736,282689,1000,12966,372,167649,544,3483,121,35854,179,7913,243,62660,249
2020-10-27,24579,736,284198,1645,13042,372,168576,1003,3501,121,35999,163,7955,243,62989,371
2020-10-28,24739,740,285428,1390,13136,374,169313,831,3525,121,36108,133,7997,245,63232,285
2020-10-29,24932,748,287207,1972,13225,378,170388,1164,3558,122,36322,247,8068,248,63622,461
2020-10-3,21369,675,241162,1505,11111,338,139839,864,3167,119,31442,218,7012,218,55316,354
2020-10-30,25129,750,289054,2044,13337,378,171630,1354,3582,123,36498,200,8129,249,63985,424
2020-10-31,25318,754,290405,1540,13415,379,172299,747,3623,123,36736,279,8199,252,64352,437
2020-10-4,21526,676,243195,2190,11226,339,141129,1405,3176,119,31679,246,7044,218,55717,433
2020-10-5,21613,678,244050,942,11281,341,141656,582,3182,119,31798,125,7070,218,55874,183
2020-10-6,21746,678,245757,1840,11361,341,142872,1296,3196,119,31949,165,7109,218,56131,296
2020-10-7,21845,681,247401,1743,11430,343,144172,1369,3199,120,32007,61,7136,218,56343,239
2020-10-8,22002,683,249854,2610,11540,344,146086,2024,3206,120,32213,213,7176,219,56582,279
2020-10-9,22183,685,252676,3003,11657,345,148086,2117,3228,120,32565,374,7217,220,56924,383
2020-11-1,25504,757,292333,2114,13552,382,173686,1524,3631,123,36886,158,8240,252,64662,351
2020-11-10,27536,779,305452,1463,14827,393,181729,773,3891,125,38617,269,8735,261,67265,328
2020-11-11,27735,782,306768,1515,14951,394,182415,810,3915,125,38820,227,8786,263,67569,355
2020-11-12,28198,784,309166,2861,15262,395,184012,1908,3968,125,39030,263,8885,264,68041,571
2020-11-13,28579,788,310858,2073,15490,396,184968,1184,4040,125,39339,381,8964,267,68381,419
