date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-12-11,45234,922,371108,4392,26033,459,220891,2756,6928,166,47167,566,12159,297,80717,838
2020-12-12,45854,929,373286,2798,26369,464,221983,1428,7023,167,47501,429,12346,298,81305,775
2020-12-13,46891,943,376497,4248,26954,474,223679,2281,7215,168,48049,740,12603,301,82050,1002
2020-12-14,47597,950,378722,2931,27421,478,225143,1931,7321,169,48268,325,12733,303,82414,494
2020-12-15,48441,959,381461,3583,27962,482,226754,2152,7478,172,48759,648,12877,305,82875,605
2020-12-16,49314,972,384058,3470,28473,490,228105,1862,7637,175,49181,581,13079,307,83509,836
2020-12-17,49668,980,385274,1570,28647,494,228765,834,7713,178,49338,233,13182,308,83821,415
2020-12-18,50717,988,388354,4129,29295,498,230581,2464,7867,181,49707,523,13427,309,84544,968
2020-12-19,51217,1002,390008,2154,29561,506,231398,1083,7948,183,49926,300,13579,313,85077,685
2020-12-2,37740,860,348975,3114,21422,429,207650,1910,5423,143,44081,442,10797,288,76418,534
2020-12-20,51691,1017,391671,2137,29760,517,232034,835,8065,184,50297,488,13737,316,85575,656
2020-12-21,52286,1024,393376,2300,30128,521,233024,1358,8176,187,50577,391,13851,316,85899,438
2020-12-22,52914,1033,394926,2178,30556,526,234010,1414,8296,190,50829,372,13931,317,86161,342
2020-12-23,53717,1044,397734,3611,31044,531,235622,2100,8404,194,51130,409,14137,319,86868,913
2020-12-24,54363,1054,399987,2899,31489,536,237062,1885,8493,197,51364,323,14249,321,87372,616
2020-12-25,55193,1066,402682,3525,31892,542,238306,1647,8728,198,51788,659,14440,326,88168,987
2020-12-26,55783,1077,404546,2454,32225,549,239320,1347,8839,201,52100,423,14582,327,88598,572
2020-12-27,56262,1094,405907,1840,32521,563,240269,1245,8917,204,52202,180,14685,327,88840,345
2020-12-28,56990,1105,407611,2432,33002,567,241363,1575,9028,207,52405,314,14818,331,89149,442
2020-12-29,57405,1112,408948,1752,33271,570,242226,1132,9104,210,52569,240,14888,332,89436,357
2020-12-3,38678,868,351391,3354,21958,434,209053,1939,5669,145,44496,661,10952,289,76838,575
2020-12-30,58286,1121,410980,2913,33817,575,243422,1742,9253,211,52846,426,15070,335,89912,658
2020-12-31,58911,1132,412360,2005,34053,581,244115,929,9407,213,53054,362,15305,338,90344,667
2020-12-4,39372,872,353329,2632,22408,437,210258,1655,5804,145,44741,380,11060,290,77194,464
2020-12-5,40182,879,355723,3204,22900,441,211606,1840,5970,147,45067,492,11211,291,77786,743
2020-12-6,41009,886,358658,3762,23325,444,213060,1879,6180,151,45696,839,11403,291,78387,793
2020-12-7,41747,892,360887,2967,23772,446,214489,1876,6324,155,45982,430,11549,291,78790,549
2020-12-8,42692,896,363392,3450,24459,448,216282,2480,6463,157,46218,375,11667,291,79126,454
2020-12-9,43342,910,365467,2725,24924,453,217626,1809,6561,163,46474,354,11750,294,79474,431
2020-3-10,13,0,17,4,12,0,11,3,0,0,NA,0,0,0,NA,1
2020-3-11,17,0,21,8,11,0,12,5,0,0,NA,0,NA,0,NA,3
2020-3-12,17,0,31,10,11,0,19,7,0,0,NA,0,NA,0,NA,3
2020-3-13,18,0,50,20,12,0,29,11,0,0,NA,NA,NA,0,17,8
2020-3-14,18,0,68,18,12,0,41,12,0,0,NA,NA,NA,0,19,2
2020-3-15,21,0,84,19,12,0,51,10,NA,0,11,6,NA,0,22,3
2020-3-16,22,0,102,19,11,0,58,8,NA,0,16,5,NA,0,28,6
2020-3-17,26,0,140,42,13,0,82,27,NA,0,24,9,NA,0,34,6
2020-3-18,37,0,193,64,21,0,90,16,NA,0,28,5,NA,0,75,43
2020-3-19,50,0,432,252,28,0,156,73,NA,0,51,26,12,0,220,148
2020-3-20,59,0,518,95,33,0,203,52,NA,0,63,12,16,0,247,31
2020-3-21,66,0,573,62,38,0,234,36,NA,0,71,8,18,0,263,18
2020-3-22,79,0,599,39,47,0,250,25,NA,0,75,4,22,0,269,10
2020-3-23,118,0,855,295,71,0,396,170,15,0,105,35,32,0,335,76
2020-3-24,150,1,1174,351,93,0,643,269,22,0,140,42,35,NA,355,23
2020-3-25,168,2,1379,223,104,NA,780,148,25,0,156,19,39,NA,394,43
2020-3-26,191,3,1627,271,116,NA,890,122,29,0,218,66,46,NA,449,62
2020-3-27,229,5,1822,233,141,NA,950,85,35,0,285,73,53,NA,484,42
2020-3-28,277,9,2099,325,160,NA,1069,138,40,NA,331,51,77,NA,576,116
2020-3-29,323,10,2300,247,182,NA,1192,145,47,NA,366,42,94,NA,600,41
2020-3-30,359,11,2602,338,214,NA,1357,197,47,NA,389,23,98,NA,697,101
2020-3-31,429,12,3084,552,256,NA,1570,255,59,NA,497,120,114,NA,820,139
2020-3-8,13,0,9,0,12,0,NA,0,0,0,NA,0,0,0,NA,0
2020-3-9,13,0,13,4,12,0,NA,2,0,0,NA,NA,0,0,NA,1
2020-4-1,466,13,3438,391,280,NA,1722,176,64,NA,533,41,122,NA,953,141
2020-4-10,1490,36,7691,631,844,19,4084,381,253,NA,1160,60,392,14,1929,178
2020-4-11,1627,44,8119,565,887,21,4241,200,277,NA,1274,138,462,19,2062,203
2020-4-12,1735,49,8476,465,949,23,4511,332,297,NA,1315,61,488,21,2090,54
2020-4-13,1881,54,8780,450,996,25,4667,203,306,NA,1339,33,578,22,2206,206
2020-4-14,2074,61,9132,545,1033,29,4773,143,355,NA,1447,157,685,24,2305,206
2020-4-15,2136,68,9223,153,1053,31,4808,55,367,NA,1465,30,715,28,2340,65
2020-4-16,2249,72,9490,380,1111,33,4988,238,378,NA,1486,32,759,29,2394,98
2020-4-17,2535,78,9938,734,1198,34,5211,310,426,12,1579,141,909,32,2489,245
2020-4-18,2652,88,10259,438,1280,38,5444,315,449,15,1631,75,921,35,2509,32
2020-4-19,2852,92,10485,426,1299,39,5498,73,462,16,1650,32,1089,37,2653,312
2020-4-2,499,16,3815,410,299,NA,2041,338,70,NA,563,36,130,NA,965,20
2020-4-20,3041,102,10823,527,1375,43,5659,237,491,17,1727,106,1173,42,2736,167
2020-4-21,3318,107,11157,611,1434,44,5722,122,534,19,1806,122,1348,44,2904,343
2020-4-22,3446,120,11359,330,1476,52,5786,106,569,20,1866,95,1399,48,2970,117
2020-4-23,3588,134,11634,417,1580,62,6005,323,586,20,1903,54,1420,52,2984,35
2020-4-24,3724,150,11807,309,1598,70,6039,52,608,24,1954,73,1516,56,3062,174
2020-4-25,4180,158,12705,1354,1697,73,6441,501,653,26,2066,157,1827,59,3412,661
2020-4-26,4310,171,12921,346,1728,80,6515,105,681,27,2095,57,1898,64,3509,168
2020-4-27,4713,184,13908,1390,1796,84,6736,289,762,29,2306,292,2152,71,3969,714
2020-4-28,4823,195,14236,438,1813,89,6816,97,775,30,2345,52,2232,76,4156,267
2020-4-29,4861,207,14343,145,1831,95,6858,60,786,33,2378,44,2241,79,4165,18
2020-4-3,671,17,4718,1075,437,NA,2670,767,90,NA,670,127,144,NA,1069,118
2020-4-30,5057,213,14873,726,1951,97,7237,499,810,35,2432,78,2293,81,4248,135
2020-4-4,731,17,5019,361,468,NA,2749,110,105,NA,771,116,158,NA,1155,100
2020-4-5,802,19,5295,347,511,12,2930,224,115,NA,789,28,176,NA,1217,80
2020-4-6,896,24,5710,509,556,15,3108,223,150,NA,917,163,190,NA,1281,78
2020-4-7,1122,28,6625,1141,664,18,3500,500,178,NA,1000,111,280,NA,1663,472
2020-4-8,1238,32,6934,425,698,19,3579,113,224,NA,1094,140,315,11,1768,140
2020-4-9,1337,34,7213,378,772,19,3775,270,232,NA,1121,35,332,12,1811,60
2020-5-1,5188,225,15191,449,1978,103,7325,115,841,36,2505,104,2365,86,4384,208
2020-5-10,7165,318,24190,3138,2583,142,9775,782,1130,54,3959,193,3441,122,8507,2034
2020-5-11,7281,329,24963,889,2618,147,9946,206,1158,57,4102,171,3494,125,8855,401
2020-5-12,7347,340,25432,535,2662,151,10175,273,1171,58,4216,127,3503,131,8928,82
2020-5-13,7409,356,25945,575,2686,164,10332,181,1179,58,4304,96,3533,134,9163,265
2020-5-14,7528,368,26919,1093,2735,169,10756,473,1197,61,4460,174,3585,138,9487,376
2020-5-15,7968,379,29650,3171,2852,178,11703,1064,1267,62,4738,348,3838,139,10858,1624
2020-5-16,8107,390,30704,1193,2963,186,12329,737,1281,62,4890,166,3851,142,11075,230
2020-5-17,8298,400,32292,1779,3045,194,12799,552,1306,63,5035,170,3934,143,11967,975
