date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-08-29,19701,4855,1226,42,9.3
2021-08-29,19702,6696,1209.5,54,14.7
2021-08-29,19703,1798,1235.7,18,11.4
2021-08-29,19706,NA,NA,NA,NA
2021-08-29,19707,1609,1139.9,46,16
2021-08-29,19709,5745,1423.3,55,15.1
2021-08-29,19711,6219,1059.8,69,11.2
2021-08-29,19713,4015,1357.3,68,16.2
2021-08-29,19716,NA,NA,NA,NA
2021-08-29,19717,228,325.5,0,0
2021-08-29,19720,8885,1504.7,94,15.1
2021-08-29,19730,NA,NA,NA,NA
2021-08-29,19731,NA,NA,NA,NA
2021-08-29,19732,NA,NA,NA,NA
2021-08-29,19733,NA,NA,NA,NA
2021-08-29,19734,1760,1495.7,15,17.1
2021-08-29,19736,NA,NA,NA,NA
2021-08-29,19801,2466,1453.4,23,23.9
2021-08-29,19802,3231,1282.5,38,12.7
2021-08-29,19803,2243,1183.9,77,16.1
2021-08-29,19804,2537,1483.7,32,13.6
2021-08-29,19805,5903,1571.9,80,24.8
2021-08-29,19806,1073,1106.9,40,23.1
2021-08-29,19807,770,1318.2,NA,NA
2021-08-29,19808,4453,1218.5,76,13.5
2021-08-29,19809,1396,940.5,28,16.8
2021-08-29,19810,2213,928.3,42,9
2021-08-29,19901,4010,1101.3,80,19.5
2021-08-29,19902,NA,NA,NA,NA
2021-08-29,19904,4399,1189.3,129,27.8
2021-08-29,19930,NA,NA,NA,NA
2021-08-29,19931,NA,NA,NA,NA
2021-08-29,19933,1211,1217.1,25,26.2
2021-08-29,19934,1384,1054.4,17,9
2021-08-29,19938,1079,1292,14,14.3
2021-08-29,19939,802,1210.1,NA,NA
2021-08-29,19940,789,1471.6,NA,NA
2021-08-29,19941,356,1392,NA,NA
2021-08-29,19943,1320,1047.6,17,11.3
2021-08-29,19944,NA,NA,NA,NA
2021-08-29,19945,959,1706.4,NA,NA
2021-08-29,19946,563,1154.8,NA,NA
2021-08-29,19947,3495,1858.4,54,25.6
2021-08-29,19950,898,1268.6,25,21.1
2021-08-29,19951,NA,NA,NA,NA
2021-08-29,19952,1104,1171.7,13,8.5
2021-08-29,19953,426,1027.6,NA,NA
2021-08-29,19954,NA,NA,NA,NA
2021-08-29,19956,2164,1509.5,31,18.7
2021-08-29,19958,2531,1225.7,82,13.7
2021-08-29,19960,941,1522.8,NA,NA
2021-08-29,19962,1454,1281.3,11,6.6
2021-08-29,19963,2607,1292.1,77,24.6
2021-08-29,19964,NA,NA,NA,NA
2021-08-29,19966,3559,1345,85,16.9
2021-08-29,19967,NA,NA,NA,NA
2021-08-29,19968,1148,1141.7,16,11.4
2021-08-29,19970,814,1206.4,NA,NA
2021-08-29,19971,1575,1678,32,9.3
2021-08-29,19973,3441,1429.1,73,21.2
2021-08-29,19975,1208,1551.8,13,5.5
2021-08-29,19977,3697,1452.7,72,25.5
2021-08-29,19979,NA,NA,NA,NA
