date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-02-26,19701,3287,843.3,27,6.7
2021-02-26,19702,4718,856,38,11.3
2021-02-26,19703,1215,868.2,13,7.3
2021-02-26,19706,NA,NA,NA,NA
2021-02-26,19707,1179,810.9,39,12.1
2021-02-26,19709,3924,1016.3,38,9.7
2021-02-26,19711,4374,742.3,49,7.9
2021-02-26,19713,2910,977.2,55,11.4
2021-02-26,19716,NA,NA,NA,NA
2021-02-26,19717,78,355.5,0,0
2021-02-26,19720,6260,1020.4,64,9
2021-02-26,19730,NA,NA,NA,NA
2021-02-26,19731,NA,NA,NA,NA
2021-02-26,19732,NA,NA,NA,NA
2021-02-26,19733,NA,NA,NA,NA
2021-02-26,19734,1168,973.5,11,9.9
2021-02-26,19736,NA,NA,NA,NA
2021-02-26,19801,1694,1013.9,16,11.4
2021-02-26,19802,2105,808.6,22,8.9
2021-02-26,19803,1657,812.9,68,14.1
2021-02-26,19804,1878,1104.5,27,10.6
2021-02-26,19805,4267,1119.8,61,17.1
2021-02-26,19806,791,804.6,27,14.4
2021-02-26,19807,537,942,NA,NA
2021-02-26,19808,3289,843.4,60,9.7
2021-02-26,19809,981,662.9,24,12.8
2021-02-26,19810,1565,659.7,29,6.8
2021-02-26,19901,2718,729.6,54,12.2
2021-02-26,19902,NA,NA,NA,NA
2021-02-26,19904,3091,871.7,102,22.1
2021-02-26,19930,NA,NA,NA,NA
2021-02-26,19931,NA,NA,NA,NA
2021-02-26,19933,977,983.4,19,18.5
2021-02-26,19934,939,679.2,13,6.5
2021-02-26,19938,773,936.5,NA,NA
2021-02-26,19939,612,933.6,NA,NA
2021-02-26,19940,583,1068.4,NA,NA
2021-02-26,19941,288,1421.8,NA,NA
2021-02-26,19943,877,786.2,12,8.2
2021-02-26,19944,NA,NA,NA,NA
2021-02-26,19945,727,1190.6,NA,NA
2021-02-26,19946,406,806,NA,NA
2021-02-26,19947,3030,1602.9,41,16.6
2021-02-26,19950,612,832.1,19,17.2
2021-02-26,19951,NA,NA,NA,NA
2021-02-26,19952,801,796.6,12,7.9
2021-02-26,19953,325,757.5,NA,NA
2021-02-26,19954,NA,NA,NA,NA
2021-02-26,19956,1672,1187.7,24,13.4
2021-02-26,19958,2019,987,67,11.4
2021-02-26,19960,733,1162.1,NA,NA
2021-02-26,19962,961,836.8,NA,NA
2021-02-26,19963,1963,952.8,68,16.4
2021-02-26,19964,NA,NA,NA,NA
2021-02-26,19966,2796,1118.8,68,12.1
2021-02-26,19967,NA,NA,NA,NA
2021-02-26,19968,852,804.6,12,7
2021-02-26,19970,639,885.7,NA,NA
2021-02-26,19971,1213,1275.6,22,7
2021-02-26,19973,2689,1098.2,54,14.4
2021-02-26,19975,942,1122.2,NA,NA
2021-02-26,19977,2642,1016.1,57,21.5
2021-02-26,19979,NA,NA,NA,NA
