date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,delaware_positiveTests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,newcastle_positiveTests,kent_cases,kent_deaths,kent_negative,kent_tests,kent_positiveTests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests,sussex_positiveTests
2020-10-1,21071,653,252240,445750,23821,10921,326,146525,245418,11411,3147,118,33093,52325,3329,6927,209,57347,97274,7524
2020-10-10,22304,670,270548,491065,24920,11731,338,159353,276299,12158,3249,119,34970,56328,3394,7246,213,60070,104359,7774
2020-10-11,22464,674,273922,494782,25049,11823,341,161984,278939,12239,3268,119,35178,56613,3403,7295,214,60439,104862,7808
2020-10-12,22568,675,275234,496399,25104,11883,342,162819,279861,12267,3279,119,35336,56857,3407,7328,214,60717,105168,7830
2020-10-13,22639,676,276187,499620,25212,11923,343,163344,282181,12320,3284,119,35479,57196,3424,7354,214,60940,105574,7862
2020-10-14,22731,677,277824,506368,25374,11981,343,164460,286634,12428,3298,119,35688,57727,3434,7374,215,61165,106605,7900
2020-10-15,22897,680,280072,511489,25504,12086,346,165936,289710,12501,3313,119,35889,58223,3451,7420,215,61542,107638,7936
2020-10-16,23134,681,283063,517985,25685,12207,346,167665,293713,12619,3351,119,36215,58733,3464,7498,216,62336,109074,7986
2020-10-17,23278,684,285621,520351,25735,12299,349,169383,294933,12644,3362,119,36525,59036,3470,7539,216,62726,109715,8002
2020-10-18,23382,686,287191,523730,25848,12348,350,170317,297156,12700,3375,119,36702,59390,3480,7581,217,63111,110316,8047
2020-10-19,23496,689,288734,525836,25929,12413,350,171249,298553,12746,3391,119,36915,59597,3488,7614,220,63449,110687,8071
2020-10-2,21244,657,254143,451204,23977,11031,329,147701,248829,11539,3162,118,33306,52841,3334,6975,210,57709,98307,7545
2020-10-20,23554,692,289418,528775,26034,12456,351,171701,300301,12814,3393,120,36986,59897,3492,7627,221,63585,111287,8100
2020-10-21,23695,694,290802,534691,26179,12532,352,172492,304595,12906,3406,120,37189,60334,3504,7679,222,63901,112028,8138
2020-10-22,23863,698,292625,539535,26326,12628,352,173612,307031,12988,3425,120,37380,60913,3512,7732,226,64326,113325,8190
2020-10-23,24022,702,294545,545784,26505,12716,352,174715,310840,13073,3437,120,37601,61350,3535,7791,230,64843,114940,8252
2020-10-24,24144,706,296434,549432,26628,12786,355,175996,313129,13148,3453,120,37811,61859,3545,7827,231,65148,115577,8284
2020-10-25,24347,712,298883,552009,26724,12912,358,177639,315056,13202,3476,120,38094,62024,3556,7881,234,65581,115939,8314
2020-10-26,24433,713,299849,554161,26792,12953,359,178170,316417,13232,3493,120,38268,62231,3563,7909,234,65812,116317,8342
2020-10-27,24567,713,301459,558441,26942,13028,359,179157,319257,13341,3511,120,38421,62570,3578,7950,234,66168,117003,8364
2020-10-28,24725,717,302784,563654,27117,13121,361,179956,322607,13442,3535,120,38541,63026,3600,7991,236,66426,117896,8408
2020-10-29,24916,724,304651,569175,27293,13207,364,181089,326008,13533,3568,121,38767,63494,3623,8063,239,66829,119135,8459
