date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,delaware_positiveTests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,newcastle_positiveTests,kent_cases,kent_deaths,kent_negative,kent_tests,kent_positiveTests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests,sussex_positiveTests
2020-10-1,21083,654,250444,445863,23823,10926,326,145364,245487,11413,3148,118,32865,52336,3329,6933,210,57051,97296,7524
2020-10-10,22317,671,268606,491185,24922,11737,338,158072,276375,12160,3250,119,34733,56339,3394,7252,214,59764,104381,7774
2020-10-11,22477,675,271953,494902,25051,11829,341,160682,279015,12241,3269,119,34940,56624,3403,7301,215,60130,104884,7808
2020-10-12,22581,676,273250,496519,25106,11889,342,161510,279937,12269,3280,119,35094,56868,3407,7334,215,60406,105190,7830
2020-10-13,22652,677,274197,499742,25214,11929,343,162030,282259,12322,3285,119,35236,57207,3424,7360,215,60629,105596,7862
2020-10-14,22744,678,275828,506491,25376,11987,343,163140,286713,12430,3299,119,35445,57738,3434,7380,216,60854,106627,7900
2020-10-15,22910,682,278050,511613,25506,12092,347,164595,289790,12503,3314,119,35643,58234,3451,7426,216,61229,107660,7936
2020-10-16,23147,683,281022,518111,25687,12213,347,166309,293795,12621,3352,119,35968,58744,3464,7504,217,62021,109096,7986
2020-10-17,23291,686,283564,520478,25737,12305,350,168018,295016,12646,3363,119,36275,59047,3470,7545,217,62407,109737,8002
2020-10-18,23395,688,285126,523857,25850,12354,351,168946,297239,12702,3376,119,36452,59401,3480,7587,218,62790,110338,8047
2020-10-19,23509,692,286654,525963,25931,12419,352,169868,298636,12748,3392,119,36664,59608,3488,7620,221,63124,110709,8071
2020-10-2,21256,658,252330,451317,23979,11036,329,146530,248898,11541,3163,118,33078,52852,3334,6981,211,57409,98329,7545
2020-10-20,23567,695,287334,528902,26036,12462,353,170318,300384,12816,3394,120,36735,59908,3492,7633,222,63258,111309,8100
2020-10-21,23708,697,288703,534820,26181,12538,354,171099,304678,12908,3407,120,36937,60346,3504,7685,223,63572,112050,8138
2020-10-22,23876,701,290505,539665,26328,12634,354,172205,307115,12990,3426,120,37126,60925,3512,7738,227,63992,113347,8190
2020-10-23,24035,705,292408,545916,26507,12722,354,173293,310925,13075,3438,120,37347,61362,3535,7797,231,64507,114962,8252
2020-10-24,24157,709,294281,549564,26630,12792,357,174563,313214,13150,3454,120,37554,61871,3545,7833,232,64810,115599,8284
2020-10-25,24360,716,296716,552141,26726,12918,361,176196,315141,13204,3477,120,37836,62036,3556,7887,235,65241,115961,8314
2020-10-26,24446,717,297674,554293,26794,12959,362,176724,316502,13234,3494,120,38007,62243,3563,7915,235,65470,116339,8342
2020-10-27,24580,717,299278,558574,26944,13034,362,177708,319343,13343,3512,120,38160,62582,3578,7956,235,65824,117025,8364
2020-10-28,24738,721,300590,563787,27119,13127,364,178498,322693,13444,3536,120,38279,63038,3600,7997,237,66081,117918,8408
2020-10-29,24928,729,302442,569308,27295,13213,368,179620,326094,13535,3569,121,38503,63506,3623,8068,240,66483,119157,8459
