date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,delaware_positiveTests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,newcastle_positiveTests,kent_cases,kent_deaths,kent_negative,kent_tests,kent_positiveTests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests,sussex_positiveTests
2020-10-1,21070,653,252694,445725,23821,10919,326,146799,245396,11411,3148,118,33155,52322,3329,6927,209,57443,97274,7524
2020-10-10,22303,670,271036,491039,24920,11729,338,159654,276276,12158,3250,119,35035,56325,3394,7246,213,60170,104359,7774
2020-10-11,22463,674,274413,494756,25049,11821,341,162288,278916,12239,3269,119,35243,56610,3403,7295,214,60539,104862,7808
2020-10-12,22567,675,275726,496373,25104,11881,342,163124,279838,12267,3280,119,35401,56854,3407,7328,214,60817,105168,7830
2020-10-13,22638,676,276680,499594,25212,11921,343,163650,282158,12320,3285,119,35544,57193,3424,7354,214,61040,105574,7862
2020-10-14,22730,677,278319,506342,25374,11979,343,164767,286611,12428,3299,119,35753,57724,3434,7374,215,61265,106605,7900
2020-10-15,22894,680,280572,511463,25504,12084,346,166245,289687,12501,3313,119,35956,58220,3451,7419,215,61642,107638,7936
2020-10-16,23131,681,283566,517959,25685,12205,346,167977,293690,12619,3351,119,36282,58730,3464,7497,216,62436,109074,7986
2020-10-17,23275,684,286128,520325,25735,12297,349,169697,294910,12644,3362,119,36594,59033,3470,7538,216,62826,109715,8002
2020-10-18,23379,686,287700,523704,25848,12346,350,170633,297133,12700,3375,119,36771,59387,3480,7580,217,63211,110316,8047
2020-10-19,23493,689,289248,525810,25929,12411,350,171568,298530,12746,3391,119,36984,59594,3488,7613,220,63551,110687,8071
2020-10-2,21243,657,254600,451179,23977,11029,329,147977,248807,11539,3163,118,33369,52838,3334,6975,210,57805,98307,7545
2020-10-20,23551,692,289933,528749,26034,12454,351,172021,300278,12814,3393,120,37055,59894,3492,7626,221,63687,111287,8100
2020-10-21,23692,694,291321,534665,26179,12530,352,172815,304572,12906,3406,120,37258,60331,3504,7678,222,64004,112028,8138
2020-10-22,23860,698,293149,539509,26326,12626,352,173939,307008,12988,3425,120,37449,60910,3512,7731,226,64430,113325,8190
2020-10-23,24019,702,295078,545757,26505,12714,352,175050,310816,13073,3437,120,37671,61347,3535,7790,230,64947,114940,8252
2020-10-24,24141,706,296968,549405,26628,12784,355,176331,313105,13148,3453,120,37881,61856,3545,7826,231,65252,115577,8284
2020-10-25,24344,712,299420,551981,26724,12910,358,177977,315031,13202,3476,120,38164,62021,3556,7880,234,65685,115939,8314
