date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,delaware_positiveTests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,newcastle_positiveTests,kent_cases,kent_deaths,kent_negative,kent_tests,kent_positiveTests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests,sussex_positiveTests
2020-10-1,21065,654,245129,1935,110,10918,326,141761,1175,73,3141,118,32178,279,NA,6929,210,56336,282,22
2020-10-10,22304,671,262849,2729,128,11733,338,154129,2041,81,3243,119,34013,250,NA,7249,214,59000,357,37
2020-10-11,22463,675,266119,3429,129,11824,341,156676,2638,81,3262,119,34214,220,NA,7298,215,59360,409,34
2020-10-12,22566,676,267380,1364,56,11883,342,157479,862,29,3273,119,34366,163,NA,7331,215,59629,302,22
2020-10-13,22637,677,268302,993,108,11923,343,157986,547,53,3278,119,34502,141,17,7357,215,59847,244,32
2020-10-14,22728,678,269889,1678,162,11981,343,159064,1136,108,3291,119,34703,214,NA,7377,216,60068,241,38
2020-10-15,22892,682,272046,2321,131,12086,347,160474,1515,74,3306,119,34896,208,17,7421,216,60435,411,36
2020-10-16,23131,683,274937,3130,181,12209,347,162135,1784,118,3344,119,35210,352,13,7499,217,61213,856,50
2020-10-17,23278,686,277429,2639,50,12302,350,163805,1763,25,3356,119,35515,317,NA,7541,217,61592,421,16
2020-10-18,23382,688,278961,1636,113,12351,351,164716,960,56,3369,119,35687,185,NA,7583,218,61968,418,45
2020-10-19,23496,692,280445,1598,81,12416,352,165610,959,46,3385,119,35892,221,NA,7616,221,62294,359,24
2020-10-2,21239,658,246966,2011,156,11029,329,142894,1244,128,3156,118,32385,222,NA,6977,211,56686,398,21
2020-10-20,23554,695,281109,722,105,12459,353,166047,480,68,3387,120,35962,72,NA,7629,222,62426,145,29
2020-10-21,23695,697,282457,1489,145,12535,354,166816,845,92,3400,120,36162,213,12,7681,223,62735,361,38
2020-10-22,23864,701,284221,1933,147,12632,354,167903,1184,82,3419,120,36348,205,NA,7734,227,63143,461,52
2020-10-23,24023,705,286074,2012,179,12720,354,168958,1143,85,3431,120,36561,225,23,7793,231,63650,566,62
2020-10-24,24146,709,287905,1954,123,12790,357,170197,1309,75,3447,120,36764,219,NA,7830,232,63949,336,32
2020-10-25,24349,716,290279,2577,96,12916,361,171783,1712,54,3470,120,37037,296,11,7884,235,64377,482,30
2020-10-26,24435,717,291213,1020,69,12957,362,172297,555,30,3487,120,37203,183,NA,7912,235,64601,252,28
2020-10-27,24570,717,292773,1695,151,13033,362,173250,1029,110,3505,120,37353,168,15,7953,235,64947,387,22
2020-10-28,24728,721,294045,1430,177,13126,364,174016,859,102,3529,120,37465,136,22,7994,237,65198,292,44
2020-10-29,24919,729,295865,2011,177,13213,368,175116,1187,92,3562,121,37686,254,23,8065,240,65596,469,51
2020-10-3,21361,660,248384,1540,101,11104,330,143700,881,57,3170,118,32594,223,NA,7010,212,57019,366,34
2020-10-30,25118,731,297764,2098,160,13326,368,176389,1386,79,3587,122,37871,210,15,8126,241,65966,431,58
2020-10-31,25304,735,299160,1582,126,13402,369,177073,760,73,3627,122,38114,283,12,8196,244,66353,457,36
2020-10-4,21518,661,250482,2255,92,11219,331,145030,1445,70,3179,118,32839,254,NA,7042,212,57433,446,15
2020-10-5,21605,663,251370,975,78,11274,333,145573,598,45,3185,118,32969,136,14,7068,212,57594,187,17
2020-10-6,21735,663,253137,1897,103,11352,333,146832,1337,71,3198,118,33126,170,NA,7107,212,57857,302,22
2020-10-7,21834,666,254827,1789,124,11421,335,148163,1400,89,3201,119,33190,67,NA,7134,212,58077,247,23
2020-10-8,21991,668,257344,2674,185,11530,336,150117,2063,133,3208,119,33406,223,NA,7175,213,58327,291,34
2020-10-9,22172,670,260252,3089,133,11647,337,152174,2174,74,3230,119,33776,392,NA,7216,214,58676,390,47
2020-11-1,25489,738,301154,2179,113,13538,372,178503,1566,77,3635,122,38272,166,NA,8237,244,66674,362,29
2020-11-10,27513,758,314730,1505,220,14811,383,186776,796,133,3890,123,40087,275,28,8731,252,69386,333,51
2020-11-11,27710,760,316093,1560,447,14935,383,187477,825,318,3914,123,40296,233,22,8780,254,69705,368,79
2020-11-12,28173,762,318557,2927,304,15244,384,189113,1945,155,3966,123,40513,269,62,8882,255,70193,590,66
2020-11-13,28554,765,320305,2129,442,15472,385,190099,1214,319,4039,123,40829,389,27,8960,257,70548,433,87
2020-11-14,28955,766,322332,2428,232,15755,385,191343,1527,131,4056,123,41047,235,25,9061,258,71006,559,71
2020-11-15,29357,769,324957,3027,429,15997,386,192801,1700,313,4113,123,41410,420,33,9164,260,71678,775,70
2020-11-16,29720,773,327156,2562,189,16260,387,194251,1713,122,4154,123,41666,297,20,9223,263,72050,431,37
2020-11-17,29942,776,328144,1210,396,16387,389,194772,648,255,4188,124,41837,205,49,9284,263,72273,284,76
2020-11-18,30337,779,330066,2317,578,16627,391,195860,1328,364,4246,124,42115,336,57,9380,264,72666,489,122
2020-11-19,30981,782,333579,4157,456,17030,392,197882,2425,308,4345,126,42591,575,41,9522,264,73444,920,87
2020-11-2,25590,740,302015,962,81,13591,373,178992,542,55,3647,123,38374,114,NA,8273,244,66907,269,17
2020-11-20,31500,784,336653,3593,444,17401,392,199878,2367,254,4399,126,42887,350,74,9616,266,74026,676,91
2020-11-21,31997,786,339619,3463,396,17735,392,201434,1890,243,4462,126,43388,564,65,9716,268,74742,816,72
2020-11-22,32384,790,341689,2457,346,17966,394,202596,1393,227,4514,128,43634,298,27,9819,268,75295,656,70
2020-11-23,32831,796,344594,3352,430,18261,397,204521,2220,297,4576,130,43940,368,57,9905,269,75822,613,55
2020-11-24,33145,800,346712,2432,316,18485,400,205959,1662,231,4617,131,44121,222,27,9954,269,76189,416,48
2020-11-25,33734,802,349911,3788,642,18840,400,207603,1999,359,4698,131,44412,372,103,10105,271,77216,1178,154
2020-11-26,34311,805,352944,3610,506,19223,401,209288,2068,297,4793,132,44883,566,88,10204,272,77870,753,93
2020-11-27,34822,810,355589,3156,833,19557,403,210857,1903,545,4895,133,45266,485,126,10278,274,78238,442,131
2020-11-28,35432,813,358223,3244,351,19950,405,212619,2155,187,4974,134,45500,313,65,10414,274,78721,619,86
2020-11-29,35854,817,359825,2024,467,20178,407,213407,1016,310,5104,135,45913,543,53,10477,275,79014,356,94
2020-11-3,25707,744,302869,971,167,13647,373,179470,534,94,3656,123,38505,140,20,8325,248,67118,263,41
2020-11-30,36536,820,362168,3025,790,20653,408,214905,1973,588,5197,135,46175,355,78,10590,277,79422,521,94
2020-11-4,25927,745,304336,1687,223,13777,374,180242,902,141,3701,123,38707,247,31,8370,248,67505,432,38
2020-11-5,26222,747,306475,2434,207,13973,376,181667,1621,140,3734,123,38927,253,13,8436,248,67859,420,45
2020-11-6,26439,749,308248,1990,303,14117,377,182717,1194,170,3755,123,39259,353,40,8488,249,68163,356,80
2020-11-7,26753,752,310175,2241,243,14333,379,183860,1359,163,3792,123,39553,331,15,8547,250,68542,438,52
2020-11-8,27067,753,312132,2271,223,14549,380,185193,1549,148,3823,123,39775,253,11,8614,250,68848,373,61
2020-11-9,27273,755,313465,1539,148,14685,380,186106,1049,95,3839,123,39863,104,16,8668,252,69116,322,35
2020-12-1,36904,826,363167,1367,563,20857,412,215438,737,359,5292,137,46403,323,94,10659,277,79615,262,92
2020-12-10,44063,880,385335,3241,784,25295,441,228505,1660,471,6718,155,49630,523,145,11943,284,83903,839,140
2020-12-11,45153,885,388821,4576,1038,25985,443,230671,2856,627,6915,156,50032,599,153,12140,286,84581,875,209
2020-12-12,45771,892,391095,2892,772,26322,448,231809,1475,478,7010,157,50381,444,84,12324,287,85198,801,192
2020-12-13,46813,905,394457,4404,949,26911,457,233570,2350,551,7204,158,50963,776,176,12580,290,85980,1038,182
2020-12-14,47531,912,396778,3039,1064,27384,461,235087,1990,724,7314,159,51199,346,135,12712,292,86361,513,174
2020-12-15,48377,919,399642,3710,1057,27927,464,236765,2221,678,7471,162,51714,672,204,12856,293,86844,627,137
2020-12-16,49255,932,402360,3596,626,28440,472,238160,1908,304,7631,165,52167,613,108,13060,295,87510,870,192
2020-12-17,49610,939,403617,1612,916,28615,476,238839,854,553,7707,167,52336,245,184,13163,296,87830,423,155
2020-12-18,50657,946,406835,4265,835,29262,480,240725,2533,424,7863,169,52728,548,156,13405,297,88591,1003,230
2020-12-19,51158,959,408559,2225,419,29528,488,241572,1113,194,7946,171,52965,320,99,13556,300,89144,704,110
2020-12-2,37693,829,365607,3229,847,21386,415,216892,1983,469,5419,137,46733,457,165,10791,277,80034,551,161
2020-12-20,51636,973,410302,2221,380,29726,498,242233,859,190,8065,172,53353,507,76,13717,303,89670,687,97
2020-12-21,52229,980,412099,2390,867,30094,502,243271,1406,569,8174,175,53656,412,115,13831,303,90013,457,158
