date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-10-01,19701,5362,1358.3,46,10.2
2021-10-01,19702,7426,1343.3,57,15.7
2021-10-01,19703,1984,1362.9,18,11.4
2021-10-01,19706,NA,NA,NA,NA
2021-10-01,19707,1765,1249.8,47,16.5
2021-10-01,19709,6383,1580.5,56,15.3
2021-10-01,19711,6978,1185.2,70,11.3
2021-10-01,19713,4404,1494.8,69,16.4
2021-10-01,19716,NA,NA,NA,NA
2021-10-01,19717,374,416.4,0,0
2021-10-01,19720,9775,1661.1,100,16.1
2021-10-01,19730,NA,NA,NA,NA
2021-10-01,19731,NA,NA,NA,NA
2021-10-01,19732,NA,NA,NA,NA
2021-10-01,19733,NA,NA,NA,NA
2021-10-01,19734,2014,1711.6,17,18.1
2021-10-01,19736,NA,NA,NA,NA
2021-10-01,19801,2835,1676.3,23,23.9
2021-10-01,19802,3743,1494,39,13.1
2021-10-01,19803,2455,1296.7,78,16.6
2021-10-01,19804,2795,1642,35,14.8
2021-10-01,19805,6696,1778.9,83,25.7
2021-10-01,19806,1172,1225.9,40,23.1
2021-10-01,19807,846,1435.5,11,5.8
2021-10-01,19808,4898,1344.8,81,14.4
2021-10-01,19809,1575,1066.5,28,16.8
2021-10-01,19810,2452,1033.6,44,9.6
2021-10-01,19901,4683,1294.3,82,19.9
2021-10-01,19902,NA,NA,NA,NA
2021-10-01,19904,5075,1383.9,132,28.5
2021-10-01,19930,NA,NA,NA,NA
2021-10-01,19931,NA,NA,NA,NA
2021-10-01,19933,1460,1462.7,27,27.8
2021-10-01,19934,1642,1258.8,20,10.5
2021-10-01,19938,1302,1569.1,14,14.3
2021-10-01,19939,912,1371.1,NA,NA
2021-10-01,19940,963,1812.6,NA,NA
2021-10-01,19941,418,1600.9,NA,NA
2021-10-01,19943,1623,1296.8,20,12.9
2021-10-01,19944,NA,NA,NA,NA
2021-10-01,19945,1111,2009.8,NA,NA
2021-10-01,19946,699,1426.1,NA,NA
2021-10-01,19947,3940,2099.7,56,26.6
2021-10-01,19950,1068,1513.9,28,23.6
2021-10-01,19951,NA,NA,NA,NA
2021-10-01,19952,1399,1503.6,17,11.1
2021-10-01,19953,513,1254.1,NA,NA
2021-10-01,19954,NA,NA,NA,NA
2021-10-01,19956,2604,1824.3,36,21.8
2021-10-01,19958,2894,1421.5,85,14.1
2021-10-01,19960,1072,1744.6,11,12.8
2021-10-01,19962,1749,1553.8,12,7.2
2021-10-01,19963,3011,1504.4,83,26.8
2021-10-01,19964,NA,NA,NA,NA
2021-10-01,19966,4126,1581.7,89,17.7
2021-10-01,19967,NA,NA,NA,NA
2021-10-01,19968,1339,1335.5,17,11.9
2021-10-01,19970,906,1395.2,NA,NA
2021-10-01,19971,1730,1844.9,34,9.8
2021-10-01,19973,4109,1729,78,22.4
2021-10-01,19975,1355,1760.9,15,6.2
2021-10-01,19977,4256,1680,76,26.7
2021-10-01,19979,NA,NA,NA,NA
