date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-09-14,19701,5060,1278.3,43,9.6
2021-09-14,19702,6994,1264.4,56,15.3
2021-09-14,19703,1890,1298.7,18,11.4
2021-09-14,19706,NA,NA,NA,NA
2021-09-14,19707,1660,1176.6,47,16.5
2021-09-14,19709,5975,1480.5,55,15.1
2021-09-14,19711,6618,1118.3,70,11.3
2021-09-14,19713,4160,1407.5,68,16.2
2021-09-14,19716,NA,NA,NA,NA
2021-09-14,19717,338,394,0,0
2021-09-14,19720,9250,1569,95,15.3
2021-09-14,19730,NA,NA,NA,NA
2021-09-14,19731,NA,NA,NA,NA
2021-09-14,19732,NA,NA,NA,NA
2021-09-14,19733,NA,NA,NA,NA
2021-09-14,19734,1838,1563.1,16,17.6
2021-09-14,19736,NA,NA,NA,NA
2021-09-14,19801,2588,1530.3,23,23.9
2021-09-14,19802,3410,1357.2,38,12.7
2021-09-14,19803,2336,1238.2,77,16.1
2021-09-14,19804,2642,1547.3,35,14.8
2021-09-14,19805,6171,1642,82,25.4
2021-09-14,19806,1110,1148.7,40,23.1
2021-09-14,19807,801,1378.4,NA,NA
2021-09-14,19808,4638,1271.9,78,13.9
2021-09-14,19809,1471,993.3,28,16.8
2021-09-14,19810,2315,973.3,42,9
2021-09-14,19901,4297,1181.6,80,19.5
2021-09-14,19902,NA,NA,NA,NA
2021-09-14,19904,4630,1253.2,129,27.8
2021-09-14,19930,NA,NA,NA,NA
2021-09-14,19931,NA,NA,NA,NA
2021-09-14,19933,1327,1331.7,25,26.2
2021-09-14,19934,1493,1142.9,17,9
2021-09-14,19938,1147,1380.3,14,14.3
2021-09-14,19939,848,1277.6,NA,NA
2021-09-14,19940,872,1640.7,NA,NA
2021-09-14,19941,384,1489.8,NA,NA
2021-09-14,19943,1452,1156.3,17,11.3
2021-09-14,19944,NA,NA,NA,NA
2021-09-14,19945,1015,1820.6,NA,NA
2021-09-14,19946,612,1249.4,NA,NA
2021-09-14,19947,3648,1942,54,25.6
2021-09-14,19950,977,1379,27,22.7
2021-09-14,19951,NA,NA,NA,NA
2021-09-14,19952,1230,1313.2,13,8.5
2021-09-14,19953,460,1108.6,NA,NA
2021-09-14,19954,NA,NA,NA,NA
2021-09-14,19956,2320,1621,32,19.4
2021-09-14,19958,2679,1303.7,82,13.7
2021-09-14,19960,995,1615.3,NA,NA
2021-09-14,19962,1580,1398.7,12,7.2
2021-09-14,19963,2753,1367.6,78,25
2021-09-14,19964,NA,NA,NA,NA
2021-09-14,19966,3780,1436.9,86,17
2021-09-14,19967,NA,NA,NA,NA
2021-09-14,19968,1231,1223.3,16,11.4
2021-09-14,19970,844,1258.7,NA,NA
2021-09-14,19971,1646,1754,32,9.3
2021-09-14,19973,3729,1559.5,73,21.2
2021-09-14,19975,1246,1605.8,13,5.5
2021-09-14,19977,3938,1551.4,75,26.4
2021-09-14,19979,NA,NA,NA,NA
