date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-10-22,19701,5566,1411.8,47,10.4
2021-10-22,19702,7765,1406,59,16.3
2021-10-22,19703,2091,1440.2,18,11.4
2021-10-22,19706,NA,NA,NA,NA
2021-10-22,19707,1844,1304.6,48,17
2021-10-22,19709,6767,1671.6,58,15.9
2021-10-22,19711,7208,1238.6,72,11.6
2021-10-22,19713,4564,1552.1,72,17.2
2021-10-22,19716,NA,NA,NA,NA
2021-10-22,19717,377,417.1,0,0
2021-10-22,19720,10229,1740.1,108,17.3
2021-10-22,19730,NA,NA,NA,NA
2021-10-22,19731,NA,NA,NA,NA
2021-10-22,19732,NA,NA,NA,NA
2021-10-22,19733,NA,NA,NA,NA
2021-10-22,19734,2140,1811.8,19,19
2021-10-22,19736,NA,NA,NA,NA
2021-10-22,19801,2992,1771,24,24.4
2021-10-22,19802,3953,1579.9,41,14
2021-10-22,19803,2556,1351.1,79,16.8
2021-10-22,19804,2913,1720.4,38,16.1
2021-10-22,19805,6996,1858.3,83,25.7
2021-10-22,19806,1206,1265.6,41,23.7
2021-10-22,19807,884,1503.7,12,6.3
2021-10-22,19808,5107,1405.2,82,14.6
2021-10-22,19809,1645,1114.5,29,17.6
2021-10-22,19810,2523,1064,47,10.5
2021-10-22,19901,4936,1364.3,87,21
2021-10-22,19902,NA,NA,NA,NA
2021-10-22,19904,5380,1472.9,137,29.6
2021-10-22,19930,NA,NA,NA,NA
2021-10-22,19931,NA,NA,NA,NA
2021-10-22,19933,1544,1552.2,29,29.3
2021-10-22,19934,1767,1354,23,12.2
2021-10-22,19938,1406,1688.2,14,14.3
2021-10-22,19939,977,1478.6,11,7.5
2021-10-22,19940,1023,1925.6,NA,NA
2021-10-22,19941,453,1719.3,NA,NA
2021-10-22,19943,1758,1408,21,13.3
2021-10-22,19944,NA,NA,NA,NA
2021-10-22,19945,1208,2213.3,NA,NA
2021-10-22,19946,730,1488.3,NA,NA
2021-10-22,19947,4108,2192.2,58,27.4
2021-10-22,19950,1127,1602.1,30,25.3
2021-10-22,19951,NA,NA,NA,NA
2021-10-22,19952,1496,1618.2,20,13.5
2021-10-22,19953,533,1309.2,NA,NA
2021-10-22,19954,NA,NA,NA,NA
2021-10-22,19956,2801,1959.4,38,22.6
2021-10-22,19958,3021,1486.1,88,14.6
2021-10-22,19960,1129,1834.6,12,13.8
2021-10-22,19962,1861,1655.3,13,7.8
2021-10-22,19963,3171,1590.8,86,27.9
2021-10-22,19964,NA,NA,NA,NA
2021-10-22,19966,4380,1688.9,91,18.1
2021-10-22,19967,NA,NA,NA,NA
2021-10-22,19968,1407,1404.3,17,11.9
2021-10-22,19970,953,1470.1,NA,NA
2021-10-22,19971,1780,1894.2,34,9.8
2021-10-22,19973,4384,1847.1,82,23.4
2021-10-22,19975,1407,1821.1,15,6.2
2021-10-22,19977,4497,1778.9,80,27.9
2021-10-22,19979,NA,NA,NA,NA
