date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-05-22,19701,4413,1115.2,32,7.3
2021-05-22,19702,6137,1109.1,48,13.6
2021-05-22,19703,1622,1113.1,18,11.4
2021-05-22,19706,NA,NA,NA,NA
2021-05-22,19707,1468,1039.7,42,14.4
2021-05-22,19709,5244,1300.6,42,12.5
2021-05-22,19711,5881,989.2,60,9.7
2021-05-22,19713,3730,1261.6,62,14.6
2021-05-22,19716,NA,NA,NA,NA
2021-05-22,19717,226,325.5,0,0
2021-05-22,19720,8183,1383.8,81,13
2021-05-22,19730,NA,NA,NA,NA
2021-05-22,19731,NA,NA,NA,NA
2021-05-22,19732,NA,NA,NA,NA
2021-05-22,19733,NA,NA,NA,NA
2021-05-22,19734,1588,1341.4,14,16.6
2021-05-22,19736,NA,NA,NA,NA
2021-05-22,19801,2251,1316.5,22,23
2021-05-22,19802,2929,1160.8,30,10.3
2021-05-22,19803,2059,1082.2,71,14.7
2021-05-22,19804,2356,1376.8,32,13.6
2021-05-22,19805,5465,1457.8,73,22.8
2021-05-22,19806,988,1013.5,34,20.1
2021-05-22,19807,708,1197,NA,NA
2021-05-22,19808,4140,1134.5,69,12.3
2021-05-22,19809,1290,870.2,25,14.8
2021-05-22,19810,2021,845.3,39,8.4
2021-05-22,19901,3542,966.1,67,16
2021-05-22,19902,NA,NA,NA,NA
2021-05-22,19904,3870,1041.1,115,24.9
2021-05-22,19930,NA,NA,NA,NA
2021-05-22,19931,NA,NA,NA,NA
2021-05-22,19933,1082,1076.6,21,21.7
2021-05-22,19934,1206,915.1,16,8.4
2021-05-22,19938,973,1165.7,13,13.5
2021-05-22,19939,727,1099.6,NA,NA
2021-05-22,19940,695,1290,NA,NA
2021-05-22,19941,322,1281.5,NA,NA
2021-05-22,19943,1143,903.1,14,9.3
2021-05-22,19944,NA,NA,NA,NA
2021-05-22,19945,870,1543.1,NA,NA
2021-05-22,19946,489,1007.3,NA,NA
2021-05-22,19947,3272,1740,45,21.5
2021-05-22,19950,755,1059.5,23,19.6
2021-05-22,19951,NA,NA,NA,NA
2021-05-22,19952,957,1011.4,12,7.8
2021-05-22,19953,396,956.4,NA,NA
2021-05-22,19954,NA,NA,NA,NA
2021-05-22,19956,1898,1319.6,27,16.2
2021-05-22,19958,2289,1109.1,75,12.5
2021-05-22,19960,818,1323.6,NA,NA
2021-05-22,19962,1244,1092.3,NA,NA
2021-05-22,19963,2307,1134.5,70,22.4
2021-05-22,19964,NA,NA,NA,NA
2021-05-22,19966,3170,1194.2,79,15.8
2021-05-22,19967,NA,NA,NA,NA
2021-05-22,19968,1023,1006.3,15,11
2021-05-22,19970,751,1109.9,NA,NA
2021-05-22,19971,1412,1512.8,26,7.4
2021-05-22,19973,3024,1243.3,65,18.5
2021-05-22,19975,1111,1426.5,NA,NA
2021-05-22,19977,3310,1294.4,65,23.2
2021-05-22,19979,NA,NA,NA,NA
