date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-10-08,19701,5430,1376.6,46,10.2
2021-10-08,19702,7546,1364.9,59,16.3
2021-10-08,19703,2014,1383.1,18,11.4
2021-10-08,19706,NA,NA,NA,NA
2021-10-08,19707,1796,1271.5,47,16.5
2021-10-08,19709,6519,1612.5,57,15.7
2021-10-08,19711,7053,1204,72,11.6
2021-10-08,19713,4460,1514.9,70,16.6
2021-10-08,19716,NA,NA,NA,NA
2021-10-08,19717,374,416.4,0,0
2021-10-08,19720,9921,1686.3,102,16.4
2021-10-08,19730,NA,NA,NA,NA
2021-10-08,19731,NA,NA,NA,NA
2021-10-08,19732,NA,NA,NA,NA
2021-10-08,19733,NA,NA,NA,NA
2021-10-08,19734,2058,1747.7,18,18.6
2021-10-08,19736,NA,NA,NA,NA
2021-10-08,19801,2883,1707.4,23,23.9
2021-10-08,19802,3841,1534,39,13.1
2021-10-08,19803,2487,1312.9,78,16.6
2021-10-08,19804,2828,1664.3,35,14.8
2021-10-08,19805,6808,1808.6,83,25.7
2021-10-08,19806,1183,1240.9,41,23.7
2021-10-08,19807,857,1452.3,12,6.3
2021-10-08,19808,4961,1361.9,82,14.6
2021-10-08,19809,1596,1081.2,29,17.6
2021-10-08,19810,2470,1041.3,47,10.5
2021-10-08,19901,4762,1317,84,20.3
2021-10-08,19902,NA,NA,NA,NA
2021-10-08,19904,5181,1416.2,132,28.5
2021-10-08,19930,NA,NA,NA,NA
2021-10-08,19931,NA,NA,NA,NA
2021-10-08,19933,1496,1500.7,28,28.6
2021-10-08,19934,1695,1300.4,20,10.5
2021-10-08,19938,1338,1612.3,14,14.3
2021-10-08,19939,933,1402.1,NA,NA
2021-10-08,19940,980,1847.8,NA,NA
2021-10-08,19941,433,1661.3,NA,NA
2021-10-08,19943,1675,1340.3,20,12.9
2021-10-08,19944,NA,NA,NA,NA
2021-10-08,19945,1148,2083,NA,NA
2021-10-08,19946,709,1444.5,NA,NA
2021-10-08,19947,4004,2134.1,57,26.9
2021-10-08,19950,1079,1530.6,28,23.6
2021-10-08,19951,NA,NA,NA,NA
2021-10-08,19952,1433,1543.4,18,12
2021-10-08,19953,516,1260.3,NA,NA
2021-10-08,19954,NA,NA,NA,NA
2021-10-08,19956,2681,1878,37,22.2
2021-10-08,19958,2945,1446.8,85,14.1
2021-10-08,19960,1095,1779.9,11,12.8
2021-10-08,19962,1778,1580.3,12,7.2
2021-10-08,19963,3079,1541.6,84,27.2
2021-10-08,19964,NA,NA,NA,NA
2021-10-08,19966,4235,1626.9,90,17.9
2021-10-08,19967,NA,NA,NA,NA
2021-10-08,19968,1363,1359,17,11.9
2021-10-08,19970,921,1419.4,NA,NA
2021-10-08,19971,1744,1855.2,34,9.8
2021-10-08,19973,4185,1761,80,23
2021-10-08,19975,1380,1790.4,15,6.2
2021-10-08,19977,4325,1709.3,77,27.1
2021-10-08,19979,NA,NA,NA,NA
