date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-10-1,21062,669,234781,1845,10919,334,136128,1131,3139,119,30516,257,6926,216,53984,276
2020-10-10,22308,686,251675,2603,11739,346,147955,1951,3241,120,32230,230,7248,220,56530,346
2020-10-11,22470,691,254811,3298,11833,350,150399,2538,3260,120,32422,211,7297,221,56875,394
2020-10-12,22573,692,256015,1307,11892,351,151160,820,3271,120,32567,156,7330,221,57137,295
2020-10-13,22644,694,256894,950,11932,352,151649,529,3276,120,32694,132,7356,222,57345,234
2020-10-14,22734,695,258388,1584,11989,352,152667,1075,3289,120,32881,200,7376,223,57553,228
2020-10-15,22900,699,260433,2211,12094,356,153999,1437,3304,120,33061,195,7422,223,57907,400
2020-10-16,23137,700,263201,3005,12217,356,155593,1717,3341,120,33355,331,7499,224,58656,826
2020-10-17,23283,703,265594,2539,12310,359,157204,1704,3353,120,33647,304,7540,224,59017,402
2020-10-18,23390,705,267045,1558,12362,360,158074,922,3366,120,33803,169,7582,225,59372,397
2020-10-19,23504,710,268472,1541,12427,361,158941,932,3382,120,33992,205,7615,229,59688,349
2020-10-2,21236,673,236534,1927,11030,337,137216,1199,3153,119,30709,207,6975,217,54318,383
2020-10-20,23565,714,269111,700,12473,363,159359,464,3384,121,34059,69,7628,230,59818,143
2020-10-21,23706,716,270393,1423,12549,364,160093,810,3397,121,34246,200,7680,231,60110,344
2020-10-22,23873,720,272069,1843,12644,364,161136,1138,3416,121,34425,198,7733,235,60491,434
2020-10-23,24032,724,273831,1921,12732,364,162142,1094,3428,121,34625,212,7792,239,60975,543
2020-10-24,24153,728,275578,1868,12800,367,163334,1260,3445,121,34817,209,7828,240,61255,316
2020-10-25,24354,735,277825,2448,12924,371,164835,1625,3468,121,35072,278,7882,243,61664,463
2020-10-26,24439,736,278722,982,12964,372,165326,531,3485,121,35233,178,7910,243,61881,245
2020-10-27,24575,736,280210,1624,13040,372,166240,990,3503,121,35376,161,7952,243,62204,365
2020-10-28,24735,740,281416,1366,13134,374,166963,817,3527,121,35482,130,7994,245,62445,283
2020-10-29,24929,748,283175,1953,13223,378,168027,1153,3560,122,35693,244,8066,248,62829,456
2020-10-3,21361,675,237892,1483,11107,338,137993,854,3167,119,30905,210,7009,218,54634,350
2020-10-30,25124,750,285000,2020,13335,378,169256,1341,3583,123,35865,195,8126,249,63187,418
2020-10-31,25312,754,286331,1519,13412,379,169919,740,3624,123,36095,271,8196,252,63550,433
2020-10-4,21518,676,239884,2149,11222,339,139256,1378,3176,119,31139,243,7041,218,55028,426
2020-10-5,21605,678,240727,930,11277,341,139778,577,3182,119,31255,122,7067,218,55181,179
2020-10-6,21738,678,242406,1812,11357,341,140972,1274,3196,119,31406,165,7106,218,55433,291
2020-10-7,21837,681,244024,1717,11426,343,142248,1345,3199,120,31464,61,7133,218,55644,238
2020-10-8,21994,683,246434,2567,11536,344,144126,1988,3206,120,31667,210,7173,219,55879,275
2020-10-9,22175,685,249205,2952,11653,345,146090,2081,3228,120,32013,368,7214,220,56218,380
2020-11-1,25498,757,288237,2092,13549,382,171290,1508,3632,123,36243,156,8237,252,63858,349
2020-11-10,27532,779,301154,1441,14827,393,179224,760,3892,125,37936,266,8731,261,66420,324
2020-11-11,27731,782,302439,1484,14951,394,179890,790,3916,125,38136,224,8782,263,66720,351
2020-11-12,28196,784,304806,2832,15263,395,181466,1888,3969,125,38341,258,8882,264,67187,567
2020-11-13,28577,788,306474,2049,15491,396,182409,1171,4041,125,38646,377,8961,267,67522,414
2020-11-14,28985,789,308408,2342,15778,396,183591,1469,4058,125,38853,224,9065,268,67965,547
2020-11-15,29387,793,310920,2914,16020,397,184988,1639,4115,126,39199,403,9168,270,68606,744
2020-11-16,29752,797,313027,2472,16284,398,186386,1662,4156,126,39433,275,9228,273,68966,420
2020-11-17,29975,800,313975,1171,16412,400,186890,632,4190,127,39597,198,9289,273,69177,272
2020-11-18,30371,803,315815,2236,16653,402,187937,1288,4247,127,39863,323,9386,274,69547,467
2020-11-19,31019,806,319152,3985,17057,403,189860,2327,4348,129,40317,555,9529,274,70281,877
2020-11-2,25599,759,289064,928,13601,383,171764,526,3645,124,36335,105,8273,252,64085,263
2020-11-20,31538,810,322100,3467,17429,404,191780,2292,4401,130,40594,330,9623,276,70840,653
2020-11-21,32031,812,324934,3327,17762,404,193270,1823,4464,130,41067,536,9720,278,71525,782
