date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-08-18,19701,4698,1185.7,40,8.9
2021-08-18,19702,6522,1178.7,52,14.2
2021-08-18,19703,1737,1192.1,18,11.4
2021-08-18,19706,NA,NA,NA,NA
2021-08-18,19707,1556,1104.5,45,15.7
2021-08-18,19709,5580,1381.5,52,14.6
2021-08-18,19711,6120,1039.2,66,10.7
2021-08-18,19713,3915,1323.2,67,16
2021-08-18,19716,NA,NA,NA,NA
2021-08-18,19717,227,325.5,0,0
2021-08-18,19720,8638,1462.5,92,14.8
2021-08-18,19730,NA,NA,NA,NA
2021-08-18,19731,NA,NA,NA,NA
2021-08-18,19732,NA,NA,NA,NA
2021-08-18,19733,NA,NA,NA,NA
2021-08-18,19734,1712,1451.6,14,16.6
2021-08-18,19736,NA,NA,NA,NA
2021-08-18,19801,2384,1401,23,23.9
2021-08-18,19802,3104,1230.2,37,12.4
2021-08-18,19803,2172,1144.5,77,16.1
2021-08-18,19804,2461,1437.2,32,13.6
2021-08-18,19805,5755,1532.7,80,24.8
2021-08-18,19806,1049,1083.6,40,23.1
2021-08-18,19807,738,1250.1,NA,NA
2021-08-18,19808,4342,1186.5,75,13.3
2021-08-18,19809,1359,915.5,28,16.8
2021-08-18,19810,2154,902.8,42,9
2021-08-18,19901,3826,1049.2,79,19.3
2021-08-18,19902,NA,NA,NA,NA
2021-08-18,19904,4202,1133.7,129,27.8
2021-08-18,19930,NA,NA,NA,NA
2021-08-18,19931,NA,NA,NA,NA
2021-08-18,19933,1163,1165.7,24,25.2
2021-08-18,19934,1295,983.9,17,9
2021-08-18,19938,1042,1245.8,14,14.3
2021-08-18,19939,774,1167.6,NA,NA
2021-08-18,19940,751,1394.7,NA,NA
2021-08-18,19941,345,1352.9,NA,NA
2021-08-18,19943,1248,991,17,11.3
2021-08-18,19944,NA,NA,NA,NA
2021-08-18,19945,927,1651.1,NA,NA
2021-08-18,19946,531,1096.4,NA,NA
2021-08-18,19947,3415,1818,52,24.9
2021-08-18,19950,846,1194.6,25,21.1
2021-08-18,19951,NA,NA,NA,NA
2021-08-18,19952,1033,1095.9,13,8.5
2021-08-18,19953,415,998.4,NA,NA
2021-08-18,19954,NA,NA,NA,NA
2021-08-18,19956,2079,1449.4,31,18.7
2021-08-18,19958,2422,1178.1,81,13.5
2021-08-18,19960,893,1445.4,NA,NA
2021-08-18,19962,1374,1212.4,NA,NA
2021-08-18,19963,2494,1231.9,77,24.6
2021-08-18,19964,NA,NA,NA,NA
2021-08-18,19966,3399,1280.7,83,16.5
2021-08-18,19967,NA,NA,NA,NA
2021-08-18,19968,1086,1070.9,16,11.4
2021-08-18,19970,792,1169.1,NA,NA
2021-08-18,19971,1525,1630.9,32,9.3
2021-08-18,19973,3303,1366.2,71,20.4
2021-08-18,19975,1171,1503.9,13,5.5
2021-08-18,19977,3552,1394.8,72,25.5
2021-08-18,19979,NA,NA,NA,NA
