date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-10-1,21064,655,244607,1928,10916,327,141453,1172,3142,118,32110,279,6929,210,56228,281
2020-10-10,22304,672,262293,2725,11732,339,153805,2040,3244,119,33942,251,7249,214,58879,353
2020-10-11,22463,676,265559,3425,11823,342,156348,2634,3263,119,34143,220,7298,215,59239,409
2020-10-12,22566,677,266819,1363,11882,343,157150,861,3274,119,34295,163,7331,215,59508,302
2020-10-13,22637,678,267740,992,11922,344,157657,547,3279,119,34431,141,7357,215,59726,244
2020-10-14,22728,679,269325,1676,11980,344,158734,1135,3292,119,34632,214,7377,216,59946,240
2020-10-15,22892,683,271474,2313,12085,348,160136,1507,3307,119,34825,208,7421,216,60313,411
2020-10-16,23131,684,274361,3126,12208,348,161794,1781,3345,119,35139,352,7499,217,61090,855
2020-10-17,23277,687,276848,2633,12301,351,163460,1759,3357,119,35443,316,7540,217,61469,420
2020-10-18,23381,689,278375,1631,12350,352,164369,958,3370,119,35614,184,7582,218,61843,416
2020-10-19,23495,693,279855,1594,12415,353,165263,959,3386,119,35818,220,7615,221,62166,356
2020-10-2,21238,659,246441,2008,11027,330,142585,1243,3157,118,32317,222,6977,211,56577,397
2020-10-20,23553,696,280516,719,12458,354,165697,477,3388,120,35888,72,7628,222,62298,145
2020-10-21,23694,698,281861,1486,12534,355,166463,842,3401,120,36088,213,7680,223,62607,361
2020-10-22,23863,702,283618,1926,12631,355,167548,1182,3420,120,36274,205,7733,227,63011,457
2020-10-23,24022,706,285468,2009,12719,355,168603,1143,3432,120,36485,223,7792,231,63517,565
2020-10-24,24145,710,287295,1950,12789,358,169841,1308,3448,120,36688,219,7829,232,63814,334
2020-10-25,24348,717,289662,2570,12915,362,171422,1707,3471,120,36961,296,7883,235,64240,480
2020-10-26,24434,718,290594,1018,12956,363,171934,553,3488,120,37127,183,7911,235,64464,252
2020-10-27,24569,718,292150,1691,13032,363,172884,1026,3506,120,37277,168,7952,235,64809,386
2020-10-28,24727,722,293421,1429,13125,365,173649,858,3530,120,37389,136,7993,237,65060,292
2020-10-29,24918,730,295240,2010,13212,369,174749,1187,3563,121,37609,253,8064,240,65458,469
2020-10-3,21360,661,247859,1540,11102,331,143391,881,3171,118,32527,224,7010,212,56910,366
2020-10-30,25117,732,297137,2096,13325,369,176021,1385,3588,122,37794,210,8125,241,65827,430
2020-10-31,25303,736,298533,1582,13401,370,176705,760,3628,122,38037,283,8195,244,66214,457
2020-10-4,21517,662,249951,2249,11217,332,144719,1443,3180,118,32770,252,7042,212,57322,444
2020-10-5,21604,664,250838,974,11272,334,145262,598,3186,118,32899,135,7068,212,57483,187
2020-10-6,21734,664,252599,1891,11350,334,146516,1332,3199,118,33056,170,7107,212,57745,301
2020-10-7,21834,667,254285,1786,11420,336,147845,1399,3202,119,33120,67,7134,212,57963,245
2020-10-8,21991,669,256796,2668,11529,337,149797,2061,3209,119,33335,222,7175,213,58210,288
2020-10-9,22172,671,259700,3085,11646,338,151851,2171,3231,119,33704,391,7216,214,58559,390
2020-11-1,25488,739,300525,2177,13537,373,178134,1565,3636,122,38195,166,8236,244,66534,361
2020-11-10,27514,759,314062,1501,14811,384,186393,795,3892,123,40004,276,8730,252,69234,332
2020-11-11,27711,761,315422,1557,14935,384,187093,824,3916,123,40212,232,8779,254,69552,367
2020-11-12,28173,763,317882,2922,15243,385,188726,1941,3968,123,40429,269,8881,255,70040,590
2020-11-13,28554,766,319620,2119,15471,386,189705,1207,4041,123,40744,388,8959,257,70393,431
2020-11-14,28955,767,321641,2422,15753,386,190945,1522,4058,123,40962,235,9061,258,70850,559
2020-11-15,29358,770,324262,3024,15995,387,192401,1698,4116,123,41325,421,9164,260,71521,774
2020-11-16,29721,774,326456,2557,16258,388,193850,1712,4157,123,41581,297,9223,263,71891,429
2020-11-17,29943,777,327440,1206,16385,390,194368,645,4191,124,41752,205,9284,263,72113,283
2020-11-18,30337,780,329361,2315,16625,392,195455,1327,4248,124,42030,335,9380,264,72506,489
2020-11-19,30981,783,332864,4147,17028,393,197472,2420,4347,126,42505,574,9522,264,73281,917
2020-11-2,25589,741,301384,960,13590,374,178623,542,3648,123,38297,114,8272,244,66765,267
2020-11-20,31500,785,335933,3588,17399,393,199467,2366,4401,126,42801,350,9616,266,73859,672
2020-11-21,31997,787,338897,3461,17733,393,201022,1889,4464,126,43302,564,9716,268,74574,815
2020-11-22,32384,791,340964,2454,17964,395,202182,1391,4516,128,43548,298,9819,268,75126,655
2020-11-23,32831,797,343861,3344,18259,398,204102,2215,4578,130,43851,365,9905,269,75653,613
2020-11-24,33145,801,345973,2426,18483,401,205536,1658,4619,131,44031,221,9954,269,76019,415
2020-11-25,33733,803,349170,3785,18837,401,207179,1997,4700,131,44322,372,10105,271,77046,1178
2020-11-26,34311,806,352192,3600,19221,402,208861,2066,4795,132,44793,566,10204,272,77692,745
2020-11-27,34822,811,354833,3152,19555,404,210426,1899,4897,133,45176,485,10278,274,78060,442
2020-11-28,35432,814,357460,3237,19948,406,212184,2151,4976,134,45410,313,10414,274,78541,617
2020-11-29,35854,818,359060,2022,20176,408,212970,1014,5106,135,45823,543,10477,275,78834,356
2020-11-3,25706,745,302236,969,13646,374,179101,534,3657,123,38427,139,8324,248,66975,262
2020-11-30,36535,821,361399,3020,20650,409,214466,1970,5199,135,46084,354,10590,277,79241,520
2020-11-4,25926,746,303702,1686,13776,375,179872,901,3702,123,38629,247,8369,248,67362,432
2020-11-5,26221,748,305830,2423,13972,377,181292,1616,3735,123,38848,252,8435,248,67713,417
2020-11-6,26438,750,307598,1985,14116,378,182339,1191,3756,123,39178,351,8487,249,68017,356
2020-11-7,26752,753,309519,2235,14332,380,183480,1357,3793,123,39471,330,8546,250,68394,436
2020-11-8,27067,754,311471,2267,14549,381,184812,1549,3824,123,39692,252,8613,250,68698,371
2020-11-9,27273,756,312802,1537,14685,381,185724,1048,3840,123,39780,104,8667,252,68965,321
2020-12-1,36903,827,362395,1364,20854,413,214998,736,5294,137,46311,322,10659,277,79433,261
2020-12-10,44065,881,384529,3241,25293,442,228046,1659,6722,155,49534,524,11943,284,83714,840
