date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-10-1,21068,669,239173,1878,10923,334,138603,1146,3139,119,31239,263,6927,216,54899,276
2020-10-10,22313,686,256479,2677,11741,346,150707,2004,3242,120,33014,244,7249,220,57494,349
2020-10-11,22474,691,259690,3372,11834,350,153208,2594,3261,120,33213,218,7298,221,57847,402
2020-10-12,22577,692,260927,1340,11893,351,153994,845,3272,120,33363,161,7331,221,58112,298
2020-10-13,22648,694,261825,969,11933,352,154493,539,3277,120,33494,136,7357,222,58323,237
2020-10-14,22738,695,263357,1622,11990,352,155541,1105,3290,120,33685,204,7377,223,58533,230
2020-10-15,22904,699,265447,2256,12095,356,156908,1472,3305,120,33870,200,7423,223,58889,402
2020-10-16,23141,700,268269,3059,12218,356,158529,1744,3342,120,34170,337,7500,224,59654,842
2020-10-17,23287,703,270701,2578,12311,359,160161,1725,3354,120,34466,308,7541,224,60025,412
2020-10-18,23392,705,272188,1592,12361,360,161046,935,3367,120,34629,176,7583,225,60391,408
2020-10-19,23506,710,273638,1564,12426,361,161923,942,3383,120,34824,211,7616,229,60712,354
2020-10-2,21243,673,240964,1966,11034,337,139709,1217,3154,119,31442,218,6976,217,55238,388
2020-10-20,23564,714,274288,708,12469,363,162349,469,3385,121,34892,70,7629,230,60843,144
2020-10-21,23704,716,275593,1445,12545,364,163098,825,3397,121,35084,204,7681,231,61138,347
2020-10-22,23872,720,277307,1882,12641,364,164166,1164,3416,121,35266,201,7734,235,61526,441
2020-10-23,24031,724,279104,1956,12729,364,165191,1113,3428,121,35471,217,7793,239,62018,551
2020-10-24,24152,728,280900,1917,12798,367,166411,1289,3444,121,35669,214,7829,240,62309,327
2020-10-25,24354,735,283202,2504,12923,371,167946,1660,3467,121,35934,288,7883,243,62726,471
2020-10-26,24440,736,284117,1001,12964,372,168450,545,3484,121,36096,179,7911,243,62947,249
2020-10-27,24576,736,285638,1657,13040,372,169384,1010,3502,121,36242,164,7953,243,63279,374
2020-10-28,24736,740,286875,1397,13134,374,170126,836,3526,121,36352,134,7995,245,63523,286
2020-10-29,24929,748,288658,1976,13223,378,171204,1167,3559,122,36566,247,8066,248,63913,461
2020-10-3,21367,675,242355,1515,11110,338,140504,871,3168,119,31647,219,7010,218,55560,356
2020-10-30,25126,750,290516,2055,13335,378,172452,1360,3583,123,36745,203,8127,249,64277,425
2020-10-31,25315,754,291876,1549,13413,379,173126,752,3624,123,36984,280,8197,252,64645,438
2020-10-4,21524,676,244398,2200,11225,339,141800,1411,3177,119,31884,246,7042,218,55965,437
2020-10-5,21611,678,245262,951,11280,341,142332,587,3183,119,32005,127,7068,218,56123,184
2020-10-6,21744,678,246979,1850,11360,341,143555,1303,3197,119,32158,167,7107,218,56381,297
2020-10-7,21842,681,248634,1753,11428,343,144861,1374,3200,120,32220,65,7134,218,56593,239
2020-10-8,21999,683,251099,2622,11538,344,146780,2029,3207,120,32429,216,7174,219,56835,282
2020-10-9,22180,685,253935,3017,11655,345,148789,2126,3229,120,32783,376,7215,220,57179,385
2020-11-1,25501,757,293812,2122,13550,382,174517,1528,3632,123,37135,159,8238,252,64957,353
2020-11-10,27533,779,306995,1468,14825,393,182601,775,3892,125,38874,270,8733,261,67573,329
2020-11-11,27732,782,308319,1523,14949,394,183288,811,3916,125,39077,227,8784,263,67883,361
2020-11-12,28196,784,310735,2880,15260,395,184895,1918,3969,125,39290,266,8884,264,68360,577
2020-11-13,28577,788,312433,2079,15488,396,185855,1188,4041,125,39600,382,8963,267,68701,420
2020-11-14,28983,789,314418,2391,15773,396,187071,1501,4058,125,39811,228,9067,268,69154,557
