date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-05-01,19701,4153,1046.8,32,7.3
2021-05-01,19702,5898,1065.7,46,13.3
2021-05-01,19703,1541,1054.8,18,11.4
2021-05-01,19706,NA,NA,NA,NA
2021-05-01,19707,1443,1020.8,42,14.4
2021-05-01,19709,5042,1250.7,40,12.1
2021-05-01,19711,5727,956.7,60,9.7
2021-05-01,19713,3580,1208.6,62,14.6
2021-05-01,19716,NA,NA,NA,NA
2021-05-01,19717,225,393,0,0
2021-05-01,19720,7872,1330.1,80,12.8
2021-05-01,19730,NA,NA,NA,NA
2021-05-01,19731,NA,NA,NA,NA
2021-05-01,19732,NA,NA,NA,NA
2021-05-01,19733,NA,NA,NA,NA
2021-05-01,19734,1533,1294.4,13,14.2
2021-05-01,19736,NA,NA,NA,NA
2021-05-01,19801,2174,1265.8,21,22.5
2021-05-01,19802,2840,1124.8,29,9.9
2021-05-01,19803,2011,1052.7,71,14.7
2021-05-01,19804,2266,1323.2,30,12.8
2021-05-01,19805,5254,1402.2,72,22.6
2021-05-01,19806,964,985.6,34,20.1
2021-05-01,19807,694,1174.5,NA,NA
2021-05-01,19808,3996,1094.1,69,12.3
2021-05-01,19809,1222,820.8,25,14.8
2021-05-01,19810,1960,819.6,37,8
2021-05-01,19901,3424,932.5,66,15.7
2021-05-01,19902,NA,NA,NA,NA
2021-05-01,19904,3715,996,113,24.5
2021-05-01,19930,NA,NA,NA,NA
2021-05-01,19931,NA,NA,NA,NA
2021-05-01,19933,1057,1049.3,21,21.7
2021-05-01,19934,1173,891.7,16,8.4
2021-05-01,19938,939,1122.7,NA,NA
2021-05-01,19939,704,1062.3,NA,NA
2021-05-01,19940,674,1248.6,NA,NA
2021-05-01,19941,316,1263.7,NA,NA
2021-05-01,19943,1097,865,14,9.3
2021-05-01,19944,NA,NA,NA,NA
2021-05-01,19945,837,1478.1,NA,NA
2021-05-01,19946,474,976.1,NA,NA
2021-05-01,19947,3194,1696.6,44,21
2021-05-01,19950,738,1033.7,23,19.6
2021-05-01,19951,NA,NA,NA,NA
2021-05-01,19952,933,985,12,7.8
2021-05-01,19953,381,930,NA,NA
2021-05-01,19954,NA,NA,NA,NA
2021-05-01,19956,1861,1294.7,26,15.8
2021-05-01,19958,2249,1085.4,74,12.4
2021-05-01,19960,810,1309.8,NA,NA
2021-05-01,19962,1229,1079.3,NA,NA
2021-05-01,19963,2236,1096.7,69,22
2021-05-01,19964,NA,NA,NA,NA
2021-05-01,19966,3093,1161.8,78,15.7
2021-05-01,19967,NA,NA,NA,NA
2021-05-01,19968,995,970.4,15,11
2021-05-01,19970,729,1071.8,NA,NA
2021-05-01,19971,1389,1476.4,26,7.4
2021-05-01,19973,2943,1207.3,64,18
2021-05-01,19975,1084,1382,NA,NA
2021-05-01,19977,3180,1241.4,62,22.1
2021-05-01,19979,NA,NA,NA,NA
