date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-10-1,21068,669,244153,1925,10918,334,141200,1172,3141,119,32047,275,6932,216,56123,282
2020-10-10,22308,686,261814,2724,11735,346,153535,2039,3243,120,33876,251,7251,220,58770,353
2020-10-11,22467,691,265073,3418,11826,350,156072,2628,3262,120,34078,221,7300,221,59129,408
2020-10-12,22570,692,266331,1361,11885,351,156873,860,3273,120,34230,163,7333,221,59398,302
2020-10-13,22641,694,267252,992,11925,352,157380,547,3278,120,34366,141,7359,222,59616,244
2020-10-14,22732,695,268831,1670,11983,352,158454,1132,3291,120,34565,212,7379,223,59835,239
2020-10-15,22896,699,270978,2311,12088,356,159855,1506,3306,120,34758,208,7423,223,60202,411
2020-10-16,23135,700,273860,3121,12211,356,161510,1778,3344,120,35071,351,7501,224,60978,854
2020-10-17,23281,703,276342,2628,12304,359,163172,1755,3356,120,35374,315,7542,224,61357,420
2020-10-18,23385,705,277865,1627,12353,360,164078,955,3369,120,35544,183,7584,225,61731,416
2020-10-19,23499,710,279342,1591,12418,361,164970,957,3385,120,35748,220,7617,229,62054,356
2020-10-2,21242,673,245985,2006,11029,337,142330,1241,3156,119,32254,222,6980,217,56472,397
2020-10-20,23557,714,280002,718,12461,363,165403,476,3387,121,35818,72,7630,230,62186,145
2020-10-21,23698,716,281342,1481,12537,364,166167,840,3400,121,36018,213,7682,231,62492,358
2020-10-22,23867,720,283098,1925,12634,364,167252,1182,3419,121,36204,205,7735,235,62895,456
2020-10-23,24026,724,284942,2003,12722,364,168305,1141,3431,121,36413,221,7794,239,63399,563
2020-10-24,24149,728,286766,1947,12792,367,169541,1306,3447,121,36616,219,7831,240,63696,334
2020-10-25,24352,735,289126,2563,12918,371,171116,1701,3470,121,36889,296,7885,243,64122,480
2020-10-26,24438,736,290057,1017,12959,372,171628,553,3487,121,37055,183,7913,243,64346,252
2020-10-27,24573,736,291611,1689,13035,372,172576,1024,3505,121,37205,168,7954,243,64691,386
2020-10-28,24731,740,292878,1425,13128,374,173339,856,3529,121,37317,136,7995,245,64941,291
2020-10-29,24922,748,294693,2006,13215,378,174437,1185,3562,122,37536,252,8066,248,65338,468
2020-10-3,21365,675,247399,1537,11105,338,143135,881,3170,119,32463,223,7013,218,56803,364
2020-10-30,25120,750,296589,2094,13327,378,175708,1383,3587,123,37721,210,8127,249,65707,430
2020-10-31,25307,754,297981,1579,13404,379,176391,760,3627,123,37963,282,8197,252,66093,456
2020-10-4,21522,676,249490,2248,11220,339,144463,1443,3179,119,32705,251,7045,218,57215,444
2020-10-5,21609,678,250377,974,11275,341,145006,598,3185,119,32834,135,7071,218,57376,187
2020-10-6,21739,678,252134,1887,11353,341,146256,1328,3198,119,32991,170,7110,218,57638,301
2020-10-7,21839,681,253819,1785,11423,343,147584,1398,3201,120,33055,67,7137,218,57856,245
2020-10-8,21995,683,256323,2660,11532,344,149531,2056,3208,120,33270,222,7177,219,58102,286
2020-10-9,22176,685,259222,3080,11649,345,151582,2168,3230,120,33638,390,7218,220,58450,389
2020-11-1,25492,757,299966,2170,13540,382,177814,1559,3635,123,38121,166,8238,252,66412,360
2020-11-10,27519,779,313471,1494,14814,393,186052,790,3891,125,39928,276,8733,261,69106,331
2020-11-11,27716,782,314830,1556,14938,394,186752,824,3915,125,40136,232,8782,263,69423,366
2020-11-12,28178,784,317288,2920,15246,395,188385,1941,3967,125,40353,269,8884,264,69909,588
