date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,delaware_positiveTests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,newcastle_positiveTests,kent_cases,kent_deaths,kent_negative,kent_tests,kent_positiveTests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests,sussex_positiveTests
2020-10-1,21071,653,252394,445746,23821,10921,326,146618,245415,11411,3147,118,33112,52324,3329,6927,209,57381,97274,7524
2020-10-10,22304,670,270720,491061,24920,11731,338,159459,276296,12158,3249,119,34992,56327,3394,7246,213,60106,104359,7774
2020-10-11,22464,674,274096,494778,25049,11823,341,162092,278936,12239,3268,119,35200,56612,3403,7295,214,60475,104862,7808
2020-10-12,22568,675,275408,496395,25104,11883,342,162927,279858,12267,3279,119,35358,56856,3407,7328,214,60753,105168,7830
2020-10-13,22639,676,276362,499616,25212,11923,343,163453,282178,12320,3284,119,35501,57195,3424,7354,214,60976,105574,7862
2020-10-14,22731,677,277999,506364,25374,11981,343,164569,286631,12428,3298,119,35710,57726,3434,7374,215,61201,106605,7900
2020-10-15,22897,680,280249,511485,25504,12086,346,166046,289707,12501,3313,119,35911,58222,3451,7420,215,61578,107638,7936
2020-10-16,23134,681,283240,517981,25685,12207,346,167775,293710,12619,3351,119,36237,58732,3464,7498,216,62372,109074,7986
2020-10-17,23278,684,285800,520347,25735,12299,349,169494,294930,12644,3362,119,36548,59035,3470,7539,216,62762,109715,8002
2020-10-18,23382,686,287371,523726,25848,12348,350,170429,297153,12700,3375,119,36725,59389,3480,7581,217,63147,110316,8047
2020-10-19,23496,689,288917,525832,25929,12413,350,171363,298550,12746,3391,119,36938,59596,3488,7614,220,63486,110687,8071
2020-10-2,21244,657,254299,451200,23977,11031,329,147795,248826,11539,3162,118,33326,52840,3334,6975,210,57743,98307,7545
2020-10-20,23554,692,289601,528771,26034,12456,351,171815,300298,12814,3393,120,37009,59896,3492,7627,221,63622,111287,8100
2020-10-21,23695,694,290985,534687,26179,12532,352,172606,304592,12906,3406,120,37212,60333,3504,7679,222,63938,112028,8138
2020-10-22,23863,698,292809,539531,26326,12628,352,173727,307028,12988,3425,120,37403,60912,3512,7732,226,64363,113325,8190
