date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-05-09,19701,4221,1065.3,32,7.3
2021-05-09,19702,5978,1080.8,47,13.5
2021-05-09,19703,1581,1082.7,18,11.4
2021-05-09,19706,NA,NA,NA,NA
2021-05-09,19707,1455,1028.2,42,14.4
2021-05-09,19709,5125,1271.6,40,12.1
2021-05-09,19711,5764,964.3,60,9.7
2021-05-09,19713,3632,1226,62,14.6
2021-05-09,19716,NA,NA,NA,NA
2021-05-09,19717,226,393.3,0,0
2021-05-09,19720,8024,1356.5,80,12.8
2021-05-09,19730,NA,NA,NA,NA
2021-05-09,19731,NA,NA,NA,NA
2021-05-09,19732,NA,NA,NA,NA
2021-05-09,19733,NA,NA,NA,NA
2021-05-09,19734,1557,1315.4,13,14.2
2021-05-09,19736,NA,NA,NA,NA
2021-05-09,19801,2211,1294,21,22.5
2021-05-09,19802,2895,1147.3,29,9.9
2021-05-09,19803,2032,1067.4,71,14.7
2021-05-09,19804,2300,1343.6,31,13.2
2021-05-09,19805,5354,1428.2,72,22.6
2021-05-09,19806,972,998.7,34,20.1
2021-05-09,19807,700,1182.5,NA,NA
2021-05-09,19808,4053,1111.4,69,12.3
2021-05-09,19809,1257,846.7,25,14.8
2021-05-09,19810,1990,832.5,38,8.2
2021-05-09,19901,3473,946.1,67,16
2021-05-09,19902,NA,NA,NA,NA
2021-05-09,19904,3784,1015.8,114,24.7
2021-05-09,19930,NA,NA,NA,NA
2021-05-09,19931,NA,NA,NA,NA
2021-05-09,19933,1066,1060.4,21,21.7
2021-05-09,19934,1190,903,16,8.4
2021-05-09,19938,954,1139.3,12,12.7
2021-05-09,19939,716,1082.2,NA,NA
2021-05-09,19940,683,1264.7,NA,NA
2021-05-09,19941,319,1271.4,NA,NA
2021-05-09,19943,1112,877.3,14,9.3
2021-05-09,19944,NA,NA,NA,NA
2021-05-09,19945,858,1518.3,NA,NA
2021-05-09,19946,484,996.5,NA,NA
2021-05-09,19947,3224,1714.7,44,21
2021-05-09,19950,749,1051,23,19.6
2021-05-09,19951,NA,NA,NA,NA
2021-05-09,19952,943,996.7,12,7.8
2021-05-09,19953,389,944.3,NA,NA
2021-05-09,19954,NA,NA,NA,NA
2021-05-09,19956,1876,1304.3,26,15.8
2021-05-09,19958,2272,1099.2,74,12.4
2021-05-09,19960,813,1315.4,NA,NA
2021-05-09,19962,1237,1086.1,NA,NA
2021-05-09,19963,2275,1118.8,70,22.4
2021-05-09,19964,NA,NA,NA,NA
2021-05-09,19966,3130,1176.9,78,15.7
2021-05-09,19967,NA,NA,NA,NA
2021-05-09,19968,1007,989.4,15,11
2021-05-09,19970,744,1105,NA,NA
2021-05-09,19971,1395,1484.1,26,7.4
2021-05-09,19973,2988,1227.3,64,18
2021-05-09,19975,1096,1403.6,NA,NA
2021-05-09,19977,3238,1265.4,62,22.1
2021-05-09,19979,NA,NA,NA,NA
