date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-10-1,21060,655,244681,1928,10914,327,141493,1172,3141,118,32121,279,6928,210,56246,281
2020-10-10,22300,672,262372,2725,11730,339,153848,2040,3243,119,33953,251,7248,214,58899,353
2020-10-11,22459,676,265638,3425,11821,342,156391,2634,3262,119,34154,220,7297,215,59259,409
2020-10-12,22562,677,266898,1363,11880,343,157193,861,3273,119,34306,163,7330,215,59528,302
2020-10-13,22633,678,267819,992,11920,344,157700,547,3278,119,34442,141,7356,215,59746,244
2020-10-14,22724,679,269405,1677,11978,344,158778,1136,3291,119,34643,214,7376,216,59966,240
2020-10-15,22888,683,271557,2316,12083,348,160183,1510,3306,119,34836,208,7420,216,60333,411
2020-10-16,23127,684,274444,3126,12206,348,161841,1781,3344,119,35150,352,7498,217,61110,855
2020-10-17,23273,687,276931,2633,12299,351,163507,1759,3356,119,35454,316,7539,217,61489,420
2020-10-18,23377,689,278458,1631,12348,352,164416,958,3369,119,35625,184,7581,218,61863,416
2020-10-19,23491,693,279938,1594,12413,353,165310,959,3385,119,35829,220,7614,221,62186,356
2020-10-2,21234,659,246515,2008,11025,330,142625,1243,3156,118,32328,222,6976,211,56595,397
2020-10-20,23549,696,280601,721,12456,354,165746,479,3387,120,35899,72,7627,222,62318,145
2020-10-21,23690,698,281946,1486,12532,355,166512,842,3400,120,36099,213,7679,223,62627,361
2020-10-22,23859,702,283704,1927,12629,355,167597,1182,3419,120,36285,205,7732,227,63032,458
2020-10-23,24018,706,285556,2011,12717,355,168652,1143,3431,120,36497,224,7791,231,63539,566
2020-10-24,24141,710,287383,1950,12787,358,169890,1308,3447,120,36700,219,7828,232,63836,334
2020-10-25,24344,717,289751,2571,12913,362,171472,1708,3470,120,36973,296,7882,235,64262,480
2020-10-26,24430,718,290684,1019,12954,363,171985,554,3487,120,37139,183,7910,235,64486,252
2020-10-27,24565,718,292240,1691,13030,363,172935,1026,3505,120,37289,168,7951,235,64831,386
2020-10-28,24723,722,293511,1429,13123,365,173700,858,3529,120,37401,136,7992,237,65082,292
2020-10-29,24914,730,295330,2010,13210,369,174800,1187,3562,121,37621,253,8063,240,65480,469
2020-10-3,21356,661,247933,1540,11100,331,143431,881,3170,118,32538,224,7009,212,56928,366
2020-10-30,25113,732,297229,2098,13323,369,176073,1386,3587,122,37806,210,8124,241,65850,431
2020-10-31,25299,736,298625,1582,13399,370,176757,760,3627,122,38049,283,8194,244,66237,457
2020-10-4,21513,662,250025,2249,11215,332,144759,1443,3179,118,32781,252,7041,212,57340,444
2020-10-5,21600,664,250912,974,11270,334,145302,598,3185,118,32910,135,7067,212,57501,187
2020-10-6,21730,664,252675,1893,11348,334,146558,1334,3198,118,33067,170,7106,212,57763,301
2020-10-7,21830,667,254362,1787,11418,336,147887,1399,3201,119,33131,67,7133,212,57982,246
2020-10-8,21987,669,256874,2669,11527,337,149839,2061,3208,119,33346,222,7174,213,58230,289
2020-10-9,22168,671,259779,3086,11644,338,151894,2172,3230,119,33715,391,7215,214,58579,390
2020-11-1,25484,739,300618,2178,13535,373,178186,1565,3635,122,38207,166,8235,244,66558,362
2020-11-10,27509,759,314160,1502,14809,384,186446,795,3890,123,40018,275,8729,252,69259,333
2020-11-11,27706,761,315521,1558,14933,384,187146,824,3914,123,40227,233,8778,254,69577,367
2020-11-12,28168,763,317981,2922,15241,385,188779,1941,3966,123,40444,269,8880,255,70065,590
2020-11-13,28549,766,319720,2120,15469,386,189758,1207,4039,123,40760,389,8958,257,70418,431
2020-11-14,28949,767,321742,2422,15750,386,190998,1521,4056,123,40978,235,9060,258,70876,560
2020-11-15,29352,770,324363,3024,15992,387,192454,1698,4114,123,41341,421,9163,260,71547,774
2020-11-16,29715,774,326557,2557,16255,388,193903,1712,4155,123,41597,297,9222,263,71917,429
2020-11-17,29937,777,327541,1206,16382,390,194421,645,4189,124,41768,205,9283,263,72139,283
2020-11-18,30331,780,329462,2315,16622,392,195508,1327,4246,124,42046,335,9379,264,72532,489
2020-11-19,30975,783,332966,4148,17025,393,197525,2420,4345,126,42521,574,9521,264,73308,918
2020-11-2,25585,741,301477,960,13588,374,178675,542,3647,123,38309,114,8271,244,66789,267
2020-11-20,31494,785,336035,3588,17396,393,199520,2366,4399,126,42817,350,9615,266,73886,672
2020-11-21,31991,787,338999,3461,17730,393,201075,1889,4462,126,43318,564,9715,268,74601,815
2020-11-22,32378,791,341066,2454,17961,395,202235,1391,4514,128,43564,298,9818,268,75153,655
2020-11-23,32825,797,343965,3346,18256,398,204156,2216,4576,130,43868,366,9904,269,75680,613
2020-11-24,33139,801,346077,2426,18480,401,205590,1658,4617,131,44048,221,9953,269,76046,415
2020-11-25,33727,803,349274,3785,18834,401,207233,1997,4698,131,44339,372,10104,271,77073,1178
2020-11-26,34305,806,352300,3604,19218,402,208915,2066,4793,132,44810,566,10203,272,77723,749
2020-11-27,34817,811,354941,3153,19553,404,210480,1900,4895,133,45193,485,10277,274,78091,442
2020-11-28,35427,814,357570,3239,19946,406,212240,2153,4974,134,45427,313,10413,274,78572,617
2020-11-29,35849,818,359170,2022,20174,408,213026,1014,5104,135,45840,543,10476,275,78865,356
2020-11-3,25702,745,302329,969,13644,374,179153,534,3656,123,38439,139,8323,248,66999,262
2020-11-30,36531,821,361511,3023,20649,409,214523,1972,5197,135,46101,354,10589,277,79273,521
2020-11-4,25922,746,303796,1687,13774,375,179925,902,3701,123,38641,247,8368,248,67386,432
2020-11-5,26217,748,305925,2424,13970,377,181345,1616,3734,123,38861,253,8434,248,67737,417
2020-11-6,26434,750,307693,1985,14114,378,182392,1191,3755,123,39191,351,8486,249,68041,356
2020-11-7,26748,753,309614,2235,14330,380,183533,1357,3792,123,39484,330,8545,250,68418,436
2020-11-8,27063,754,311567,2268,14547,381,184865,1549,3823,123,39706,253,8612,250,68722,371
2020-11-9,27269,756,312898,1537,14683,381,185777,1048,3839,123,39794,104,8666,252,68989,321
2020-12-1,36899,827,362507,1364,20853,413,215055,736,5292,137,46328,322,10658,277,79465,261
2020-12-10,44061,881,384654,3242,25292,442,228110,1660,6720,155,49554,524,11942,284,83749,840
2020-12-11,45152,886,388133,4570,25983,444,230270,2851,6917,156,49956,599,12139,286,84426,874
2020-12-12,45770,893,390404,2889,26320,449,231405,1472,7012,157,50305,444,12323,287,85043,801
2020-12-13,46812,906,393762,4400,26909,458,233163,2347,7206,158,50887,776,12579,290,85824,1037
2020-12-14,47529,913,396077,3032,27381,462,234676,1985,7316,159,51121,344,12711,292,86205,513
2020-12-15,48375,920,398939,3708,27924,465,236352,2219,7473,162,51636,672,12855,293,86688,627
2020-12-16,49254,933,401655,3595,28438,473,237746,1908,7633,165,52089,613,13059,295,87353,869
