date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-10-1,21068,669,238180,1869,10922,334,138061,1140,3139,119,31063,262,6928,216,54692,277
2020-10-10,22315,686,255401,2664,11742,346,150115,1995,3242,120,32819,240,7250,220,57275,349
2020-10-11,22476,691,258599,3359,11835,350,152609,2587,3261,120,33018,218,7299,221,57624,398
2020-10-12,22579,692,259828,1332,11894,351,153390,840,3272,120,33166,159,7332,221,57888,297
2020-10-13,22650,694,260723,966,11934,352,153888,538,3277,120,33296,135,7358,222,58099,237
2020-10-14,22740,695,262251,1618,11991,352,154933,1102,3290,120,33487,204,7378,223,58309,230
2020-10-15,22906,699,264332,2247,12096,356,156291,1463,3305,120,33672,200,7424,223,58665,402
2020-10-16,23143,700,267136,3041,12219,356,157902,1734,3342,120,33971,336,7501,224,59425,837
2020-10-17,23289,703,269556,2566,12312,359,159529,1720,3354,120,34265,306,7542,224,59791,407
2020-10-18,23394,705,271033,1582,12362,360,160409,930,3367,120,34425,173,7584,225,60155,406
2020-10-19,23508,710,272479,1560,12427,361,161284,940,3383,120,34620,211,7617,229,60474,352
2020-10-2,21243,673,239965,1960,11033,337,139164,1214,3154,119,31264,216,6977,217,55031,388
2020-10-20,23566,714,273127,706,12470,363,161708,467,3385,121,34688,70,7630,230,60605,144
2020-10-21,23706,716,274428,1441,12546,364,162456,824,3397,121,34879,203,7682,231,60898,345
2020-10-22,23874,720,276133,1873,12642,364,163519,1159,3416,121,35060,200,7735,235,61284,439
2020-10-23,24033,724,277921,1947,12730,364,164542,1111,3428,121,35263,215,7794,239,61773,548
2020-10-24,24154,728,279709,1909,12799,367,165759,1286,3444,121,35458,211,7830,240,62063,326
2020-10-25,24356,735,282003,2496,12924,371,167289,1655,3467,121,35723,288,7884,243,62479,470
2020-10-26,24442,736,282917,1000,12965,372,167792,544,3484,121,35885,179,7912,243,62700,249
2020-10-27,24578,736,284427,1646,13041,372,168720,1004,3502,121,36030,163,7954,243,63029,371
2020-10-28,24738,740,285657,1390,13135,374,169457,831,3526,121,36139,133,7996,245,63272,285
2020-10-29,24931,748,287437,1973,13224,378,170533,1165,3559,122,36353,247,8067,248,63662,461
2020-10-3,21368,675,241347,1507,11110,338,139953,866,3168,119,31468,218,7011,218,55351,354
2020-10-30,25128,750,289288,2048,13336,378,171776,1355,3583,123,36531,202,8128,249,64026,425
2020-10-31,25317,754,290641,1542,13414,379,172447,749,3624,123,36769,279,8198,252,64393,437
2020-10-4,21525,676,243382,2192,11225,339,141244,1406,3177,119,31705,246,7043,218,55753,434
2020-10-5,21612,678,244237,942,11280,341,141771,582,3183,119,31824,125,7069,218,55910,183
2020-10-6,21745,678,245945,1841,11360,341,142988,1297,3197,119,31975,165,7108,218,56167,296
2020-10-7,21844,681,247590,1744,11429,343,144288,1369,3200,120,32034,62,7135,218,56379,239
2020-10-8,22001,683,250046,2613,11539,344,146205,2027,3207,120,32240,213,7175,219,56618,279
2020-10-9,22182,685,252870,3005,11656,345,148206,2118,3229,120,32592,374,7216,220,56960,383
2020-11-1,25503,757,292570,2115,13551,382,173835,1525,3632,123,36919,158,8239,252,64703,351
2020-11-10,27535,779,305704,1464,14826,393,181891,773,3892,125,38652,270,8734,261,67306,328
2020-11-11,27734,782,307020,1515,14950,394,182577,810,3916,125,38855,227,8785,263,67610,355
2020-11-12,28197,784,309420,2863,15261,395,184176,1910,3969,125,39065,263,8884,264,68082,571
2020-11-13,28578,788,311115,2076,15489,396,185133,1185,4041,125,39375,382,8963,267,68423,420
2020-11-14,28985,789,313086,2378,15775,396,186338,1491,4058,125,39585,227,9067,268,68875,556
2020-11-15,29389,793,315640,2958,16018,397,187767,1672,4116,126,39937,410,9170,270,69518,746
2020-11-16,29754,797,317784,2509,16282,398,189188,1685,4157,126,40179,283,9230,273,69883,425
2020-11-17,29976,800,318746,1184,16410,400,189698,638,4191,127,40347,202,9290,273,70097,274
2020-11-18,30372,803,320605,2255,16651,402,190755,1298,4248,127,40616,326,9387,274,70473,473
2020-11-19,31018,806,324003,4044,17053,403,192718,2365,4349,129,41075,560,9530,274,71216,886
2020-11-2,25604,759,293407,938,13603,383,174315,532,3645,124,37014,108,8275,252,64931,264
2020-11-20,31537,810,326987,3503,17425,404,194661,2315,4402,130,41360,338,9624,276,71778,656
2020-11-21,32031,812,329868,3375,17759,404,196180,1853,4465,130,41840,543,9721,278,72471,790
2020-11-22,32417,817,331872,2390,17991,406,197310,1362,4516,132,42073,284,9823,279,73006,637
2020-11-23,32870,824,334666,3247,18289,409,199169,2157,4578,135,42363,352,9912,280,73511,594
2020-11-24,33183,828,336731,2378,18512,412,200574,1628,4620,136,42539,218,9960,280,73866,403
2020-11-25,33769,830,339833,3688,18864,412,202179,1957,4701,136,42816,358,10111,282,74855,1140
2020-11-26,34343,833,342773,3514,19245,413,203824,2026,4796,137,43269,548,10209,283,75487,730
2020-11-27,34854,838,345339,3077,19576,415,205354,1861,4900,138,43644,479,10284,285,75839,427
