date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-12-03,19701,5985,1518,51,11.4
2021-12-03,19702,8366,1515.6,62,17.3
2021-12-03,19703,2319,1605.4,21,13.4
2021-12-03,19706,NA,NA,NA,NA
2021-12-03,19707,1997,1411.9,49,17.2
2021-12-03,19709,7454,1838.2,63,17
2021-12-03,19711,7605,1326.3,76,12.3
2021-12-03,19713,4884,1666,76,18.2
2021-12-03,19716,NA,NA,NA,NA
2021-12-03,19717,401,717.6,0,0
2021-12-03,19720,10983,1869.8,116,18.6
2021-12-03,19730,NA,NA,NA,NA
2021-12-03,19731,NA,NA,NA,NA
2021-12-03,19732,NA,NA,NA,NA
2021-12-03,19733,NA,NA,NA,NA
2021-12-03,19734,2376,2015.3,20,19.6
2021-12-03,19736,NA,NA,NA,NA
2021-12-03,19801,3270,1940.9,24,24.4
2021-12-03,19802,4351,1740.9,48,16.2
2021-12-03,19803,2789,1472.5,82,17.5
2021-12-03,19804,3168,1878.3,40,16.8
2021-12-03,19805,7545,2004.9,84,26
2021-12-03,19806,1305,1386.8,42,25.2
2021-12-03,19807,949,1606.2,12,6.3
2021-12-03,19808,5547,1528,89,16.1
2021-12-03,19809,1827,1237.9,29,17.6
2021-12-03,19810,2756,1160,48,10.7
2021-12-03,19901,5413,1502.2,90,21.8
2021-12-03,19902,NA,NA,NA,NA
2021-12-03,19904,5928,1628.2,146,31.6
2021-12-03,19930,NA,NA,NA,NA
2021-12-03,19931,NA,NA,NA,NA
2021-12-03,19933,1702,1710.3,31,30.9
2021-12-03,19934,1947,1491.1,26,14
2021-12-03,19938,1594,1909,17,17
2021-12-03,19939,1058,1616,13,8.7
2021-12-03,19940,1113,2095.2,NA,NA
2021-12-03,19941,519,1967.4,NA,NA
2021-12-03,19943,1921,1536.6,22,14.2
2021-12-03,19944,NA,NA,NA,NA
2021-12-03,19945,1275,2329.8,11,9.6
2021-12-03,19946,783,1599.3,NA,NA
2021-12-03,19947,4349,2325.4,63,30
2021-12-03,19950,1246,1793.2,32,27.1
2021-12-03,19951,NA,NA,NA,NA
2021-12-03,19952,1665,1800.8,23,16.7
2021-12-03,19953,602,1499,NA,NA
2021-12-03,19954,NA,NA,NA,NA
2021-12-03,19956,3021,2111.8,40,23.7
2021-12-03,19958,3258,1596.6,88,14.6
2021-12-03,19960,1210,1970.6,13,15
2021-12-03,19962,2083,1868.6,14,8.4
2021-12-03,19963,3450,1736.1,92,29.8
2021-12-03,19964,NA,NA,NA,NA
2021-12-03,19966,4774,1841.2,96,18.9
2021-12-03,19967,NA,NA,NA,NA
2021-12-03,19968,1545,1547.9,18,12.2
2021-12-03,19970,1006,1563.5,NA,NA
2021-12-03,19971,1891,2037.8,35,10.1
2021-12-03,19973,4702,1986.6,86,25.3
2021-12-03,19975,1474,1920,15,6.2
2021-12-03,19977,5014,1990.5,88,30.6
2021-12-03,19979,NA,NA,NA,NA
