date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,delaware_positiveTests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,newcastle_positiveTests,kent_cases,kent_deaths,kent_negative,kent_tests,kent_positiveTests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests,sussex_positiveTests
2020-10-1,21077,654,251441,445805,23823,10922,326,146036,245451,11413,3148,118,32979,52329,3329,6931,210,57212,97284,7524
2020-10-10,22310,671,269688,491124,24922,11732,338,158814,276336,12160,3250,119,34853,56332,3394,7250,214,59930,104369,7774
2020-10-11,22470,675,273045,494841,25051,11824,341,161430,278976,12241,3269,119,35061,56617,3403,7299,215,60298,104872,7808
2020-10-12,22574,676,274349,496458,25106,11884,342,162261,279898,12269,3280,119,35217,56861,3407,7332,215,60575,105178,7830
2020-10-13,22645,677,275299,499680,25214,11924,343,162784,282219,12322,3285,119,35359,57200,3424,7358,215,60798,105584,7862
2020-10-14,22737,678,276934,506429,25376,11982,343,163898,286673,12430,3299,119,35568,57731,3434,7378,216,61023,106615,7900
2020-10-15,22903,681,279171,511551,25506,12087,346,165364,289750,12503,3314,119,35768,58227,3451,7424,216,61400,107648,7936
2020-10-16,23140,682,282152,518047,25687,12208,346,167086,293753,12621,3352,119,36093,58737,3464,7502,217,62193,109084,7986
2020-10-17,23284,685,284702,520414,25737,12300,349,168800,294974,12646,3363,119,36402,59040,3470,7543,217,62580,109725,8002
2020-10-18,23388,687,286267,523793,25850,12349,350,169730,297197,12702,3376,119,36579,59394,3480,7585,218,62964,110326,8047
2020-10-19,23502,690,287805,525899,25931,12414,350,170660,298594,12748,3392,119,36792,59601,3488,7618,221,63299,110697,8071
2020-10-2,21250,658,253338,451259,23979,11032,329,147209,248862,11541,3163,118,33192,52845,3334,6979,211,57572,98317,7545
2020-10-20,23560,693,288488,528838,26036,12457,351,171111,300342,12816,3394,120,36863,59901,3492,7631,222,63435,111297,8100
2020-10-21,23701,695,289867,534756,26181,12533,352,171897,304636,12908,3407,120,37066,60339,3504,7683,223,63751,112038,8138
2020-10-22,23869,699,291681,539600,26328,12629,352,173011,307072,12990,3426,120,37255,60918,3512,7736,227,64175,113335,8190
2020-10-23,24028,703,293597,545850,26507,12717,352,174111,310881,13075,3438,120,37476,61355,3535,7795,231,64691,114950,8252
2020-10-24,24150,707,295482,549498,26630,12787,355,175390,313170,13150,3454,120,37685,61864,3545,7831,232,64995,115587,8284
2020-10-25,24353,713,297923,552075,26726,12913,358,177028,315097,13204,3477,120,37967,62029,3556,7885,235,65426,115949,8314
2020-10-26,24439,714,298886,554227,26794,12954,359,177559,316458,13234,3494,120,38140,62236,3563,7913,235,65655,116327,8342
2020-10-27,24573,714,300494,558508,26944,13029,359,178545,319299,13343,3512,120,38293,62575,3578,7954,235,66010,117013,8364
2020-10-28,24731,718,301814,563721,27119,13122,361,179340,322649,13444,3536,120,38412,63031,3600,7995,237,66268,117906,8408
