date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-11-19,19701,5788,1467.9,51,11.4
2021-11-19,19702,8100,1467.5,62,17.3
2021-11-19,19703,2208,1528.9,20,12.7
2021-11-19,19706,NA,NA,NA,NA
2021-11-19,19707,1942,1375.6,49,17.2
2021-11-19,19709,7166,1768.3,60,16.4
2021-11-19,19711,7395,1280.8,76,12.3
2021-11-19,19713,4724,1608.5,76,18.2
2021-11-19,19716,NA,NA,NA,NA
2021-11-19,19717,381,377,0,0
2021-11-19,19720,10631,1809.2,114,18.2
2021-11-19,19730,NA,NA,NA,NA
2021-11-19,19731,NA,NA,NA,NA
2021-11-19,19732,NA,NA,NA,NA
2021-11-19,19733,NA,NA,NA,NA
2021-11-19,19734,2263,1916.8,20,19.6
2021-11-19,19736,NA,NA,NA,NA
2021-11-19,19801,3129,1857.4,24,24.4
2021-11-19,19802,4162,1664.6,44,14.9
2021-11-19,19803,2681,1414.7,81,17.2
2021-11-19,19804,3046,1800,39,16.4
2021-11-19,19805,7253,1926.5,84,26
2021-11-19,19806,1265,1346.8,42,25.2
2021-11-19,19807,922,1558.8,12,6.3
2021-11-19,19808,5360,1476.3,88,15.8
2021-11-19,19809,1755,1189.1,29,17.6
2021-11-19,19810,2652,1116.4,48,10.7
2021-11-19,19901,5207,1441.1,90,21.8
2021-11-19,19902,NA,NA,NA,NA
2021-11-19,19904,5665,1553.1,145,31.3
2021-11-19,19930,NA,NA,NA,NA
2021-11-19,19931,NA,NA,NA,NA
2021-11-19,19933,1625,1635.1,31,30.9
2021-11-19,19934,1858,1421.4,25,13.4
2021-11-19,19938,1522,1819.9,16,16.2
2021-11-19,19939,1022,1551,13,8.7
2021-11-19,19940,1076,2026.3,NA,NA
2021-11-19,19941,487,1859.6,NA,NA
2021-11-19,19943,1846,1479.3,22,14.2
2021-11-19,19944,NA,NA,NA,NA
2021-11-19,19945,1242,2275,11,9.6
2021-11-19,19946,759,1545.6,NA,NA
2021-11-19,19947,4236,2261.2,60,28.6
2021-11-19,19950,1184,1696.8,32,27.1
2021-11-19,19951,NA,NA,NA,NA
2021-11-19,19952,1595,1724,23,16.7
2021-11-19,19953,577,1435,NA,NA
2021-11-19,19954,NA,NA,NA,NA
2021-11-19,19956,2905,2032.4,40,23.7
2021-11-19,19958,3143,1541,88,14.6
2021-11-19,19960,1193,1941.4,13,15
2021-11-19,19962,1974,1764.2,13,7.8
2021-11-19,19963,3318,1666.3,91,29.5
2021-11-19,19964,NA,NA,NA,NA
2021-11-19,19966,4591,1769.6,95,18.7
2021-11-19,19967,NA,NA,NA,NA
2021-11-19,19968,1478,1478.9,17,11.9
2021-11-19,19970,971,1493.6,NA,NA
2021-11-19,19971,1827,1956.4,35,10.1
2021-11-19,19973,4559,1922.9,85,24.9
2021-11-19,19975,1436,1869.2,15,6.2
2021-11-19,19977,4757,1884.8,86,29.8
2021-11-19,19979,NA,NA,NA,NA
